country_code,country_name,region_code,region_name,reporting_level,year,welfare_type,mean,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
AGO,Angola,SSF,Sub-Saharan Africa,national,2000,consumption,8.380260819715,.519451484671,.009909980207,.0219869815,.03341620371,.045094892089,.056466057717,.070482036374,.088172535796,.113397686461,.159391666238,.401681959907
AGO,Angola,SSF,Sub-Saharan Africa,national,2008,consumption,7.401681960282,.427155149878,.020722704667,.033564171517,.043176167923,.053027305776,.065425990436,.07923758155,.096511887757,.122976103307,.162341588705,.323016498362
AGO,Angola,SSF,Sub-Saharan Africa,national,2018,consumption,6.218052216505,.512642889911,.013346549476,.024281606136,.033329520437,.04343721255,.055829117464,.069809076858,.088693035002,.115676119744,.159380394157,.396217368175
ALB,Albania,ECS,Europe & Central Asia,national,1996,consumption,8.442031954605,.270103419751,.038817883466,.052792297005,.063706566514,.075240257439,.083462238153,.092457305123,.107789612861,.126116176356,.152507706392,.207109956691
ALB,Albania,ECS,Europe & Central Asia,national,2002,consumption,8.628333105656999,.317389798335,.03523453383,.048484450621,.058520715358,.067376298306,.076407873319,.088384438922,.102324653414,.119868981708,.149999215591,.253398838931
ALB,Albania,ECS,Europe & Central Asia,national,2005,consumption,9.75392826255,.305956557281,.034870461608,.049362953423,.059658204008,.06935465629,.079654226763,.090390907976,.104065136108,.121028738588,.148298449437,.243316265798
ALB,Albania,ECS,Europe & Central Asia,national,2008,consumption,10.682070101877,.299846704223,.037382980864,.051433949416,.06098501954,.069847255057,.079011325561,.089379472656,.102883019772,.119204651405,.145468019414,.244404306315
ALB,Albania,ECS,Europe & Central Asia,national,2012,consumption,10.127716689769,.289604845586,.036604352903,.05192535994,.06146082609,.070334993378,.080799744944,.092617752259,.105133410116,.122924903997,.148902113141,.229296543231
ALB,Albania,ECS,Europe & Central Asia,national,2014,consumption,10.791827503053,.345988964668,.028540807069,.041743442246,.052298414672,.063048669594,.075132675589,.089338199414,.105912036203,.127275531103,.161268536997,.255441687113
ALB,Albania,ECS,Europe & Central Asia,national,2015,consumption,13.030740908341,.327537317764,.031547363603,.045467807624,.055666923442,.065791515741,.076198266328,.088866304853,.104759011687,.125259420386,.158704782985,.247738603351
ALB,Albania,ECS,Europe & Central Asia,national,2016,consumption,13.335877410822,.337362987161,.029695862687,.043512687517,.054228763657,.064288082889,.075197730428,.0889670339,.105207039694,.127040351202,.161402136552,.250460311474
ALB,Albania,ECS,Europe & Central Asia,national,2016,income,10.582676669552,.385655742935,.018382740654,.034852508503,.047918269233,.060813779672,.073589767184,.088671505842,.105685434976,.129208138588,.166303124233,.274574731115
ALB,Albania,ECS,Europe & Central Asia,national,2017,consumption,13.20734092887,.330556627407,.030917738243,.044587989906,.05479103517,.065082411437,.076048935567,.089085788241,.10544002958,.127174153392,.160816011147,.246055907316
ALB,Albania,ECS,Europe & Central Asia,national,2017,income,11.078832551738,.370951266866,.018980408536,.036448518775,.05009209566,.063295776352,.076485841442,.090747059562,.106507626353,.129066837452,.163898014246,.264477821621
ALB,Albania,ECS,Europe & Central Asia,national,2018,consumption,14.170698049951,.301482817366,.03170735814,.04767776553,.059737454217,.070730734084,.081340950257,.093449785837,.107498982472,.12595946171,.154551693206,.227345814547
ALB,Albania,ECS,Europe & Central Asia,national,2018,income,11.596248215865,.359887519014,.021491020968,.038550208415,.051452788906,.063934622067,.077324684924,.091300762542,.10673536695,.126765476848,.162682972132,.259762096249
ALB,Albania,ECS,Europe & Central Asia,national,2019,consumption,14.6318172623,.301157683046,.035359825851,.049783410355,.0602168921,.069455849736,.079254147027,.090381969098,.103833307577,.123283361139,.152291703854,.236139533262
