Decil,Argentina (urb),Brasil,R.D. Congo,China consolidado,China rural,China urbano,EE.UU.,Noruega
D1,26.0,11.0,0.2,30.2,25.1,34.5,68.3,82.2
D2,47.2,34.7,0.4,43.2,35.5,46.5,82.6,88.0
D3,57.5,46.7,0.8,50.7,45.0,53.7,85.9,91.6
D4,64.8,54.5,1.1,55.7,49.4,59.1,90.2,93.4
D5,70.0,62.0,2.0,60.5,53.7,65.0,92.8,94.1
D6,76.0,69.3,2.7,66.2,58.4,69.2,94.5,95.3
D7,78.6,75.8,3.6,70.9,61.8,73.2,96.0,95.8
D8,83.1,80.9,6.0,74.8,68.6,78.0,97.8,97.2
D9,86.5,85.0,12.5,79.8,73.2,82.2,98.7,98.2
D10,94.3,96.7,44.7,89.0,83.9,91.5,99.8,99.4
