wd_id,ciudad,iso,lat,lon,fuente
Q763529,Osorno,CHL,-40.5667,-73.15,wikipedia:es
Q403476,El Cairo,EGY,30.0444,31.2358,wikipedia:en
Q1984294,Bolduque,NLD,51.7,5.3167,wikipedia:pt
Q2635143,Basilea,CHE,47.5606,7.5906,wikipedia:fr
Q2343205,Oslo,NOR,59.9133,10.7389,wikipedia:pt
Q748321,Oslo,NOR,59.9133,10.7389,wikipedia:pt
Q372136,Ocna Mureș,ROU,46.39,23.86,wikipedia:en
Q2464692,Winterthur,CHE,47.4992,8.7267,wikipedia:de
Q2482354,Tarija,BOL,-21.5339,-64.7342,wikipedia:en
Q2482206,Padilla,BOL,-19.3075,-64.3022,wikipedia:en
Q2059383,La Paz,BOL,-16.4958,-68.1333,wikipedia:en
Q2059304,Cochabamba,BOL,-17.3935,-66.157,wikipedia:en
Q2481832,Cochabamba,BOL,-17.3935,-66.157,wikipedia:en
Q601967,Guadalajara,MEX,20.6764,-103.3422,wikipedia:en
Q2244008,Asunción,PRY,-25.28,-57.6344,wikipedia:pt
Q2058543,Santísima Trinidad,PRY,-25.2574,-57.5795,wikipedia:en
Q2002021,Basilea,CHE,47.5606,7.5906,wikipedia:es
Q977165,Montevideo,URY,-34.9059,-56.1913,wikipedia:es
Q43333,Gistel,BEL,51.1561,2.9672,wikipedia:en
Q1112761,Módena,ITA,44.6458,10.9257,wikipedia:pt
Q2546696,Q100041,ITA,44.7833,10.885,wikipedia:es
Q1753362,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:en
Q487301,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:en
Q3812751,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:en
Q2059305,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:en
Q4020780,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:es
Q3977018,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:es
Q2156546,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:en
Q2059290,ocupación japonesa de Corea,,37.5775,126.9769,wikipedia:en
