manager_id,qid,birth_country,birth_iso3
M-001,Q972845,,URY
M-002,Q472293,,DEU
M-003,Q784014,,ENG
M-004,Q11949,,
M-005,Q27836069,,GHA
M-006,Q194311,,MEX
M-007,Q2571610,,EGY
M-008,Q2735296,,SAU
M-009,Q2062689,,SAU
M-010,Q2463523,,CHL
M-011,Q5621337,,ARG
M-012,Q2144609,,URY
M-013,Q69433948,,
M-014,Q3130555,,SWE
M-015,Q671485,,CHE
M-016,Q349585,,SRB
M-017,Q28705,,GHA
M-018,Q576614,,ESP
M-019,Q22673721,,ECU
M-020,Q431216,,USA
M-021,Q328226,,AUT
M-022,Q1336203,,AUS
M-023,Q2423955,,SRB
M-024,Q1457546,,
M-025,Q930621,,ESP
M-026,Q10308057,,BRA
M-027,Q570396,,ROU
M-028,Q1382192,,FRA
M-029,Q462819,,ARG
M-030,Q2143268,,FRA
M-031,Q313457,,ITA
M-032,Q2055966,,SCO
M-033,Q4457,,DEU
M-034,Q158647,,
M-035,Q80334854,,
M-036,Q316733,,PRT
M-037,Q562392,,FRA
M-038,Q721360,,SWE
M-039,Q708694,,USA
M-040,Q879347,,NOR
M-041,Q17484497,,ITA
M-042,Q715307,,RUS
M-043,Q31575,,ARG
M-044,Q360765,,ARG
M-045,Q863023,,NIR
M-046,Q993055,,FRA
M-047,Q895573,,POL
M-048,Q366788,,BIH
M-049,Q2259128,,MAR
M-050,Q186691,,UKR
M-051,Q80334931,,
M-052,Q706715,,BGR
M-053,Q1321730,,
M-054,Q2004609,,HUN
M-055,Q457632,,URY
M-056,Q56284787,,ARG
M-057,Q2631137,,BGR
M-058,Q442325,,USA
M-059,Q524344,,SCO
M-060,Q5605360,,ENG
M-061,Q713907,,ESP
M-062,Q314873,,CZE
M-063,Q3624509,,CHL
M-064,Q206237,,SCO
M-065,Q679183,,DEU
M-066,Q603955,,LKA
M-067,Q27663759,,RUS
M-068,Q2006030,,PER
M-069,Q311227,,ESP
M-070,Q640116,,ARG
M-071,Q183108,,ITA
M-072,Q125262,,MEX
M-073,Q389196,,BRA
M-074,Q3785277,,CHL
M-075,Q2631628,,FRA
M-076,Q346751,,KOR
M-077,Q313674,,ENG
