player_id,given_name,family_name,birth_date,pan_wd_id,pan_wp_id,pan_slug,pan_name,pan_occupation,match_method
P-35894,Alan,A'Court,1934-09-30,Q918582,1967543,Alan_A'Court,Alan A'Court,SOCCER PLAYER,slug_exacto
P-03484,Brenden,Aaronson,2000-10-22,Q33129609,54615043,Brenden_Aaronson,Brenden Aaronson,SOCCER PLAYER,slug_exacto
P-04189,Stefan,Abadzhiev,1934-07-03,Q1479715,33292432,Stefan_Abadzhiev,Stefan Abadzhiev,SOCCER PLAYER,slug_exacto
P-03523,Jean-Paul,Abalo,1975-06-26,Q1345891,5317334,Jean-Paul_Abalo,Jean-Paul Abalo,SOCCER PLAYER,slug_exacto
P-35138,Patrice,Abanda,1978-08-03,Q949841,5635991,Patrice_Abanda,Patrice Abanda,SOCCER PLAYER,slug_exacto
P-75462,Ignazio,Abate,1986-11-12,Q213007,5915240,Ignazio_Abate,Ignazio Abate,SOCCER PLAYER,slug_exacto
P-78277,Julio,Abbadie,1930-09-07,Q1340304,6987588,Julio_Abbadie,Julio Abbadie,SOCCER PLAYER,slug_exacto
P-02042,Claude,Abbes,1927-05-24,Q727923,10643559,Claude_Abbes,Claude Abbes,SOCCER PLAYER,slug_exacto
P-81393,Christian,Abbiati,1977-07-08,Q62166,3196992,Christian_Abbiati,Christian Abbiati,SOCCER PLAYER,slug_exacto
P-86290,Roberto,Abbondanzieri,1972-08-19,Q296961,2897275,Roberto_Abbondanzieri,Roberto Abbondanzieri,SOCCER PLAYER,slug_exacto
P-29132,Mohamed,Abd Al-Jawad,1962-11-28,Q1762715,22634002,Mohamed_Abd_Al-Jawad,Mohamed Abd Al-Jawad,SOCCER PLAYER,slug_exacto
P-26446,Adel,Abdel Rahman,1967-12-11,,,,,,sin_match
P-29161,Mohamed,Abdel Shafy,1985-07-01,Q776925,23861356,Mohamed_Abdel_Shafy,Mohamed Abdel Shafy,SOCCER PLAYER,slug_exacto
P-73679,Gamal,Abdel-Hamid,1957-11-24,,,,,,sin_match
P-62193,Magdi,Abdelghani,1959-07-27,Q2421787,4945461,Magdi_Abdelghani,Magdi Abdelghani,SOCCER PLAYER,slug_exacto
P-61342,Nacer,Abdellah,1966-03-03,Q1739812,9266707,Nacer_Abdellah,Nacer Abdellah,SOCCER PLAYER,slug_exacto
P-64924,Ali,Abdi,1993-12-20,Q17350507,61599681,Ali_Abdi_(footballer),Ali Abdi,SOCCER PLAYER,slug_exacto
P-98081,Nasrollah,Abdollahi,1951-09-02,,,,,,sin_match
P-94880,Djamel,Abdoun,1986-02-14,Q321649,8992706,Djamel_Abdoun,Djamel Abdoun,SOCCER PLAYER,slug_exacto
P-21820,Salis,Abdul Samed,2000-03-26,Q68110291,61850432,Salis_Abdul_Samed,Salis Abdul Samed,SOCCER PLAYER,slug_exacto
P-77199,Hussein,Abdulghani,1977-01-21,Q495048,5322786,Hussein_Abdulghani,Hussein Abdulghani,SOCCER PLAYER,api_qid
P-73110,Hussein,Abdulghani,1977-01-23,Q495048,5322786,Hussein_Abdulghani,Hussein Abdulghani,SOCCER PLAYER,slug_exacto
P-08125,Saud,Abdulhamid,1999-07-18,Q60407856,59563012,Saud_Abdulhamid,Saud Abdulhamid,SOCCER PLAYER,slug_exacto
P-03048,Majed,Abdullah,1959-11-01,Q446181,1996313,Majed_Abdullah,Majed Abdullah,SOCCER PLAYER,slug_exacto
P-75724,Shehu,Abdullahi,1993-03-12,Q15901384,41909140,Shehu_Abdullahi,Shehu Abdullahi,SOCCER PLAYER,slug_exacto
P-53430,Fahad,Abdulrahman,1962-10-10,,,,,,sin_match
P-00148,Yuki,Abe,1981-09-06,Q331984,1388867,Yuki_Abe,Yuki Abe,SOCCER PLAYER,slug_exacto
P-56772,Ahmad Reza,Abedzadeh,1966-05-25,Q2439863,2434650,Ahmad_Reza_Abedzadeh,Ahmad Reza Abedzadeh,SOCCER PLAYER,slug_exacto
P-80505,Amir,Abedzadeh,1993-04-26,Q4746512,31726102,Amir_Abedzadeh,Amir Abedzadeh,SOCCER PLAYER,slug_exacto
