year,team_iso3,team_name,n_born,n_total,pct_born
1930,ARG,Argentina,21,22,95.5
1930,BEL,Belgium,16,16,100.0
1930,BOL,Bolivia,17,17,100.0
1930,BRA,Brazil,23,23,100.0
1930,CHL,Chile,19,19,100.0
1930,FRA,France,14,16,87.5
1930,MEX,Mexico,16,17,94.1
1930,PER,Peru,22,22,100.0
1930,PRY,Paraguay,22,22,100.0
1930,ROU,Romania,13,15,86.7
1930,URY,Uruguay,20,22,90.9
1930,USA,United States,10,16,62.5
1930,YUG,Yugoslavia,16,16,100.0
1934,ARG,Argentina,16,17,94.1
1934,AUT,Austria,21,22,95.5
1934,BEL,Belgium,21,21,100.0
1934,BRA,Brazil,18,18,100.0
1934,CHE,Switzerland,22,22,100.0
1934,CSK,Czechoslovakia,19,22,86.4
1934,DEU,West Germany,22,22,100.0
1934,EGY,Egypt,19,19,100.0
1934,ESP,Spain,20,21,95.2
1934,FRA,France,19,22,86.4
1934,HUN,Hungary,16,20,80.0
1934,ITA,Italy,14,21,66.7
1934,NLD,Netherlands,20,22,90.9
1934,ROU,Romania,17,22,77.3
1934,SWE,Sweden,19,19,100.0
1934,USA,United States,12,19,63.2
1938,BEL,Belgium,20,22,90.9
1938,BRA,Brazil,22,22,100.0
1938,CHE,Switzerland,18,22,81.8
1938,CSK,Czechoslovakia,19,20,95.0
1938,CUB,Cuba,14,15,93.3
1938,DEU,West Germany,13,22,59.1
1938,FRA,France,11,22,50.0
1938,HUN,Hungary,21,21,100.0
1938,IDN,Dutch East Indies,6,19,31.6
1938,ITA,Italy,21,22,95.5
1938,NLD,Netherlands,22,22,100.0
1938,NOR,Norway,21,21,100.0
1938,POL,Poland,21,22,95.5
1938,ROU,Romania,19,22,86.4
1938,SWE,Sweden,21,21,100.0
1950,BOL,Bolivia,21,21,100.0
1950,BRA,Brazil,22,22,100.0
1950,CHE,Switzerland,19,22,86.4
1950,CHL,Chile,19,19,100.0
1950,ESP,Spain,19,19,100.0
1950,GBR,Gran Bretaña,21,21,100.0
1950,ITA,Italy,20,20,100.0
1950,MEX,Mexico,22,22,100.0
1950,PRY,Paraguay,20,20,100.0
1950,SWE,Sweden,22,22,100.0
1950,URY,Uruguay,21,22,95.5
1950,USA,United States,12,18,66.7
1950,YUG,Yugoslavia,22,22,100.0
1954,AUT,Austria,21,22,95.5
1954,BEL,Belgium,22,22,100.0
1954,BRA,Brazil,20,20,100.0
1954,CHE,Switzerland,20,22,90.9
1954,CSK,Czechoslovakia,17,17,100.0
1954,DEU,West Germany,19,22,86.4
1954,FRA,France,20,22,90.9
1954,GBR,Gran Bretaña,44,44,100.0
1954,HUN,Hungary,21,22,95.5
1954,ITA,Italy,17,17,100.0
1954,KOR,South Korea,3,7,42.9
1954,MEX,Mexico,19,21,90.5
1954,TUR,Turkey,21,22,95.5
1954,URY,Uruguay,21,22,95.5
1954,YUG,Yugoslavia,21,21,100.0
1958,ARG,Argentina,22,22,100.0
1958,AUT,Austria,21,22,95.5
1958,BRA,Brazil,22,22,100.0
1958,CSK,Czechoslovakia,21,21,100.0
1958,DEU,West Germany,21,22,95.5
1958,FRA,France,20,22,90.9
1958,GBR,Gran Bretaña,85,86,98.8
1958,HUN,Hungary,22,22,100.0
1958,MEX,Mexico,19,21,90.5
1958,PRY,Paraguay,21,21,100.0
1958,SUN,Soviet Union,22,22,100.0
1958,SWE,Sweden,22,22,100.0
1958,YUG,Yugoslavia,22,22,100.0
1962,ARG,Argentina,21,21,100.0
1962,BGR,Bulgaria,21,22,95.5
1962,BRA,Brazil,22,22,100.0
1962,CHE,Switzerland,19,21,90.5
1962,CHL,Chile,22,22,100.0
1962,COL,Colombia,21,22,95.5
1962,CSK,Czechoslovakia,21,21,100.0
1962,DEU,West Germany,20,22,90.9
1962,ESP,Spain,17,21,81.0
1962,GBR,Gran Bretaña,22,22,100.0
1962,HUN,Hungary,22,22,100.0
1962,ITA,Italy,17,21,81.0
1962,MEX,Mexico,22,22,100.0
1962,SUN,Soviet Union,22,22,100.0
1962,URY,Uruguay,20,22,90.9
1962,YUG,Yugoslavia,18,18,100.0
1966,ARG,Argentina,21,21,100.0
1966,BGR,Bulgaria,20,21,95.2
1966,BRA,Brazil,22,22,100.0
1966,CHE,Switzerland,22,22,100.0
1966,CHL,Chile,22,22,100.0
1966,DEU,West Germany,19,22,86.4
1966,ESP,Spain,20,20,100.0
1966,FRA,France,20,22,90.9
1966,GBR,Gran Bretaña,22,22,100.0
1966,HUN,Hungary,22,22,100.0
1966,ITA,Italy,21,21,100.0
1966,MEX,Mexico,20,20,100.0
1966,PRK,North Korea,11,11,100.0
1966,PRT,Portugal,18,22,81.8
1966,SUN,Soviet Union,21,21,100.0
1966,URY,Uruguay,20,22,90.9
1970,BEL,Belgium,21,22,95.5
1970,BGR,Bulgaria,20,21,95.2
1970,BRA,Brazil,22,22,100.0
1970,CSK,Czechoslovakia,19,20,95.0
1970,DEU,West Germany,19,22,86.4
1970,GBR,Gran Bretaña,22,22,100.0
1970,ISR,Israel,10,20,50.0
1970,ITA,Italy,21,21,100.0
1970,MAR,Morocco,18,19,94.7
1970,MEX,Mexico,20,20,100.0
1970,PER,Peru,22,22,100.0
1970,ROU,Romania,22,22,100.0
1970,SLV,El Salvador,21,21,100.0
1970,SUN,Soviet Union,21,21,100.0
1970,SWE,Sweden,19,19,100.0
1970,URY,Uruguay,22,22,100.0
1974,ARG,Argentina,22,22,100.0
1974,AUS,Australia,7,21,33.3
1974,BGR,Bulgaria,21,21,100.0
1974,BRA,Brazil,22,22,100.0
1974,CHL,Chile,22,22,100.0
1974,COD,RD Congo,15,16,93.8
1974,DDR,East Germany,21,22,95.5
1974,DEU,West Germany,21,22,95.5
1974,GBR,Gran Bretaña,22,22,100.0
1974,HTI,Haiti,22,22,100.0
1974,ITA,Italy,16,17,94.1
1974,NLD,Netherlands,22,22,100.0
1974,POL,Poland,22,22,100.0
1974,SWE,Sweden,22,22,100.0
1974,URY,Uruguay,22,22,100.0
1974,YUG,Yugoslavia,22,22,100.0
1978,ARG,Argentina,22,22,100.0
1978,AUT,Austria,22,22,100.0
1978,BRA,Brazil,22,22,100.0
1978,DEU,West Germany,22,22,100.0
1978,ESP,Spain,21,22,95.5
1978,FRA,France,20,22,90.9
1978,GBR,Gran Bretaña,22,22,100.0
1978,HUN,Hungary,21,21,100.0
1978,IRN,Iran,21,21,100.0
1978,ITA,Italy,18,19,94.7
1978,MEX,Mexico,22,22,100.0
1978,NLD,Netherlands,22,22,100.0
1978,PER,Peru,20,22,90.9
1978,POL,Poland,22,22,100.0
1978,SWE,Sweden,21,21,100.0
1978,TUN,Tunisia,22,22,100.0
1982,ARG,Argentina,22,22,100.0
1982,AUT,Austria,21,22,95.5
1982,BEL,Belgium,22,22,100.0
1982,BRA,Brazil,22,22,100.0
1982,CHL,Chile,22,22,100.0
1982,CMR,Cameroon,22,22,100.0
1982,CSK,Czechoslovakia,22,22,100.0
1982,DEU,West Germany,22,22,100.0
1982,DZA,Argelia,18,21,85.7
1982,ESP,Spain,20,21,95.2
1982,FRA,France,18,22,81.8
1982,GBR,Gran Bretaña,63,66,95.5
1982,HND,Honduras,22,22,100.0
1982,HUN,Hungary,22,22,100.0
1982,ITA,Italy,21,22,95.5
1982,KWT,Kuwait,21,22,95.5
1982,NZL,New Zealand,12,22,54.5
1982,PER,Peru,21,22,95.5
1982,POL,Poland,22,22,100.0
1982,SLV,El Salvador,19,19,100.0
1982,SUN,Soviet Union,21,21,100.0
1982,YUG,Yugoslavia,21,21,100.0
1986,ARG,Argentina,21,21,100.0
1986,BEL,Belgium,22,22,100.0
1986,BGR,Bulgaria,21,21,100.0
1986,BRA,Brazil,22,22,100.0
1986,CAN,Canada,12,22,54.5
1986,DEU,West Germany,22,22,100.0
1986,DNK,Denmark,22,22,100.0
1986,DZA,Argelia,16,21,76.2
1986,ESP,Spain,20,20,100.0
1986,FRA,France,19,22,86.4
1986,GBR,Gran Bretaña,61,66,92.4
1986,HUN,Hungary,21,21,100.0
1986,IRQ,Iraq,22,22,100.0
1986,ITA,Italy,22,22,100.0
1986,KOR,South Korea,22,22,100.0
1986,MAR,Morocco,22,22,100.0
1986,MEX,Mexico,22,22,100.0
1986,POL,Poland,22,22,100.0
1986,PRT,Portugal,22,22,100.0
1986,PRY,Paraguay,21,22,95.5
1986,SUN,Soviet Union,21,22,95.5
1986,URY,Uruguay,22,22,100.0
1990,ARE,United Arab Emirates,21,21,100.0
1990,ARG,Argentina,21,21,100.0
1990,AUT,Austria,22,22,100.0
1990,BEL,Belgium,22,22,100.0
1990,BRA,Brazil,22,22,100.0
1990,CMR,Cameroon,22,22,100.0
1990,COL,Colombia,22,22,100.0
1990,CRI,Costa Rica,21,22,95.5
1990,CSK,Czechoslovakia,22,22,100.0
1990,DEU,West Germany,22,22,100.0
1990,EGY,Egypt,22,22,100.0
1990,ESP,Spain,21,21,100.0
1990,GBR,Gran Bretaña,40,44,90.9
1990,IRL,Republic of Ireland,6,22,27.3
1990,ITA,Italy,21,21,100.0
1990,KOR,South Korea,22,22,100.0
1990,NLD,Netherlands,17,22,77.3
1990,ROU,Romania,22,22,100.0
1990,SUN,Soviet Union,19,20,95.0
1990,SWE,Sweden,22,22,100.0
1990,URY,Uruguay,21,21,100.0
1990,USA,United States,19,21,90.5
1990,YUG,Yugoslavia,20,21,95.2
1994,ARG,Argentina,22,22,100.0
1994,BEL,Belgium,21,22,95.5
1994,BGR,Bulgaria,20,20,100.0
1994,BOL,Bolivia,18,22,81.8
1994,BRA,Brazil,22,22,100.0
1994,CHE,Switzerland,20,22,90.9
1994,CMR,Cameroon,22,22,100.0
1994,COL,Colombia,22,22,100.0
1994,DEU,West Germany,22,22,100.0
1994,ESP,Spain,22,22,100.0
1994,GRC,Greece,20,22,90.9
1994,IRL,Republic of Ireland,7,22,31.8
1994,ITA,Italy,22,22,100.0
1994,KOR,South Korea,22,22,100.0
1994,MAR,Morocco,22,22,100.0
1994,MEX,Mexico,22,22,100.0
1994,NGA,Nigeria,21,22,95.5
1994,NLD,Netherlands,20,22,90.9
1994,NOR,Norway,21,22,95.5
1994,ROU,Romania,22,22,100.0
1994,RUS,Russia,11,19,57.9
1994,SAU,Saudi Arabia,22,22,100.0
1994,SWE,Sweden,22,22,100.0
1994,USA,United States,15,22,68.2
1998,ARG,Argentina,22,22,100.0
1998,AUT,Austria,21,22,95.5
1998,BEL,Belgium,19,22,86.4
1998,BGR,Bulgaria,22,22,100.0
1998,BRA,Brazil,22,22,100.0
1998,CHL,Chile,22,22,100.0
1998,CMR,Cameroon,21,22,95.5
1998,COL,Colombia,22,22,100.0
1998,DEU,West Germany,22,22,100.0
1998,DNK,Denmark,21,22,95.5
1998,ESP,Spain,21,22,95.5
1998,FRA,France,20,22,90.9
1998,GBR,Gran Bretaña,43,43,100.0
1998,HRV,Croatia,15,21,71.4
1998,IRN,Iran,20,20,100.0
1998,ITA,Italy,21,22,95.5
1998,JAM,Jamaica,13,21,61.9
1998,JPN,Japan,21,22,95.5
1998,KOR,South Korea,22,22,100.0
1998,MAR,Morocco,20,22,90.9
1998,MEX,Mexico,22,22,100.0
1998,NGA,Nigeria,22,22,100.0
1998,NLD,Netherlands,18,22,81.8
1998,NOR,Norway,21,22,95.5
1998,PRY,Paraguay,20,22,90.9
1998,ROU,Romania,22,22,100.0
1998,SAU,Saudi Arabia,21,21,100.0
1998,TUN,Tunisia,21,22,95.5
1998,USA,United States,15,22,68.2
1998,YUG,Yugoslavia,21,22,95.5
1998,ZAF,South Africa,23,23,100.0
2002,ARG,Argentina,23,23,100.0
2002,BEL,Belgium,21,23,91.3
2002,BRA,Brazil,23,23,100.0
2002,CHN,China,23,23,100.0
2002,CMR,Cameroon,22,23,95.7
2002,CRI,Costa Rica,23,23,100.0
2002,DEU,West Germany,20,23,87.0
2002,DNK,Denmark,22,23,95.7
2002,ECU,Ecuador,23,23,100.0
2002,ESP,Spain,22,23,95.7
2002,FRA,France,20,23,87.0
2002,GBR,Gran Bretaña,22,23,95.7
2002,HRV,Croatia,14,23,60.9
2002,IRL,Republic of Ireland,12,23,52.2
2002,ITA,Italy,23,23,100.0
2002,JPN,Japan,22,23,95.7
2002,KOR,South Korea,22,23,95.7
2002,MEX,Mexico,21,22,95.5
2002,NGA,Nigeria,22,23,95.7
2002,POL,Poland,22,23,95.7
2002,PRT,Portugal,21,23,91.3
2002,PRY,Paraguay,22,23,95.7
2002,RUS,Russia,18,22,81.8
2002,SAU,Saudi Arabia,23,23,100.0
2002,SEN,Senegal,21,23,91.3
2002,SVN,Slovenia,20,23,87.0
2002,SWE,Sweden,22,23,95.7
2002,TUN,Tunisia,21,23,91.3
2002,TUR,Turkey,18,23,78.3
2002,URY,Uruguay,23,23,100.0
2002,USA,United States,18,23,78.3
2002,ZAF,South Africa,22,23,95.7
2006,AGO,Angola,23,23,100.0
2006,ARG,Argentina,23,23,100.0
2006,AUS,Australia,22,23,95.7
2006,BRA,Brazil,23,23,100.0
2006,CHE,Switzerland,20,22,90.9
2006,CIV,Ivory Coast,20,23,87.0
2006,CRI,Costa Rica,22,23,95.7
2006,CZE,Czech Republic,23,23,100.0
2006,DEU,West Germany,19,23,82.6
2006,ECU,Ecuador,23,23,100.0
2006,ESP,Spain,21,23,91.3
2006,FRA,France,20,23,87.0
2006,GBR,Gran Bretaña,22,23,95.7
2006,GHA,Ghana,22,23,95.7
2006,HRV,Croatia,15,23,65.2
2006,IRN,Iran,22,23,95.7
2006,ITA,Italy,21,23,91.3
2006,JPN,Japan,22,23,95.7
2006,KOR,South Korea,23,23,100.0
2006,MEX,Mexico,21,23,91.3
2006,NLD,Netherlands,23,23,100.0
2006,POL,Poland,23,23,100.0
2006,PRT,Portugal,21,23,91.3
2006,PRY,Paraguay,22,23,95.7
2006,SAU,Saudi Arabia,23,23,100.0
2006,SCG,Serbia and Montenegro,17,23,73.9
2006,SWE,Sweden,22,23,95.7
2006,TGO,Togo,16,22,72.7
2006,TTO,Trinidad and Tobago,18,23,78.3
2006,TUN,Tunisia,15,23,65.2
2006,UKR,Ukraine,21,23,91.3
2006,USA,United States,22,23,95.7
2010,ARG,Argentina,22,23,95.7
2010,AUS,Australia,20,23,87.0
2010,BRA,Brazil,23,23,100.0
2010,CHE,Switzerland,18,22,81.8
2010,CHL,Chile,20,23,87.0
2010,CIV,Ivory Coast,21,23,91.3
2010,CMR,Cameroon,19,23,82.6
2010,DEU,West Germany,18,23,78.3
2010,DNK,Denmark,23,23,100.0
2010,DZA,Argelia,6,23,26.1
2010,ESP,Spain,23,23,100.0
2010,FRA,France,21,23,91.3
2010,GBR,Gran Bretaña,23,23,100.0
2010,GHA,Ghana,20,23,87.0
2010,GRC,Greece,20,23,87.0
2010,HND,Honduras,23,23,100.0
2010,ITA,Italy,22,23,95.7
2010,JPN,Japan,22,23,95.7
2010,KOR,South Korea,22,23,95.7
2010,MEX,Mexico,22,23,95.7
2010,NGA,Nigeria,22,23,95.7
2010,NLD,Netherlands,22,23,95.7
2010,NZL,New Zealand,19,23,82.6
2010,PRK,North Korea,18,20,90.0
2010,PRT,Portugal,17,23,73.9
2010,PRY,Paraguay,20,23,87.0
2010,SRB,Serbia,20,22,90.9
2010,SVK,Slovakia,23,23,100.0
2010,SVN,Slovenia,22,23,95.7
2010,URY,Uruguay,22,23,95.7
2010,USA,United States,21,23,91.3
2010,ZAF,South Africa,22,23,95.7
2014,ARG,Argentina,22,23,95.7
2014,AUS,Australia,22,23,95.7
2014,BEL,Belgium,22,23,95.7
2014,BIH,Bosnia and Herzegovina,17,23,73.9
2014,BRA,Brazil,23,23,100.0
