year,club_country_iso3,n_jugadores
1930,BRA,22
1930,ARG,18
1930,FRA,18
1930,URY,18
1930,MEX,17
1930,PER,17
1930,BEL,16
1930,CHL,16
1930,PRY,16
1930,USA,16
1930,BOL,14
1930,ROU,13
1930,SRB,13
1930,ITA,1
1934,FRA,24
1934,AUT,22
1934,DEU,21
1934,ESP,21
1934,BEL,20
1934,CHE,20
1934,ITA,19
1934,CZE,19
1934,SWE,19
1934,ROU,18
1934,HUN,17
1934,NLD,17
1934,USA,17
1934,ARG,16
1934,EGY,16
1934,BRA,15
1934,URY,2
1934,GBR,1
1938,BEL,23
1938,FRA,23
1938,BRA,21
1938,SWE,21
1938,HUN,20
1938,ITA,20
1938,CZE,19
1938,NOR,19
1938,ROU,19
1938,NLD,18
1938,POL,18
1938,CHE,18
1938,CUB,15
1938,DEU,13
1938,AUT,9
1938,CSK,1
1938,IDN,1
1950,GBR,22
1950,ITA,22
1950,ESP,22
1950,SWE,22
1950,URY,22
1950,BOL,20
1950,BRA,19
1950,CHL,18
1950,MEX,18
1950,CHE,18
1950,USA,16
1950,PRY,15
1950,SRB,13
1950,HRV,7
1950,ARG,1
1954,GBR,44
1954,AUT,22
1954,BEL,22
1954,BRA,22
1954,CHE,22
1954,TUR,22
1954,ITA,21
1954,URY,21
1954,FRA,20
1954,HUN,19
1954,DEU,19
1954,MEX,18
1954,CSK,12
1954,SRB,12
1954,HRV,7
1954,SVK,5
1954,CZE,3
1954,KOR,2
1954,MCO,1
1954,EGY,1
1958,GBR,81
1958,AUT,22
1958,ARG,21
1958,BRA,21
1958,HUN,20
1958,MEX,20
1958,RUS,20
1958,DEU,20
1958,PRY,19
1958,FRA,17
1958,SWE,15
1958,SRB,14
1958,CSK,10
1958,ITA,6
1958,SVK,5
1958,CZE,5
1958,HRV,4
1958,MCO,2
1958,UKR,2
1958,ESP,1
1958,EGY,1
1958,BIH,1
1962,ITA,27
1962,BGR,22
1962,CHL,22
1962,ARG,21
1962,ESP,21
1962,BRA,21
1962,COL,21
1962,GBR,21
1962,HUN,21
1962,MEX,21
1962,URY,21
1962,DEU,20
1962,CHE,19
1962,RUS,16
1962,SRB,13
1962,CSK,9
1962,SVK,6
1962,CZE,5
1962,HRV,4
1962,GEO,3
1962,UKR,3
1962,BIH,2
1962,EGY,1
1962,FRA,1
1966,ITA,28
1966,GBR,22
1966,HUN,22
1966,PRT,22
1966,BGR,21
1966,CHL,21
1966,CHE,21
1966,URY,21
1966,ARG,20
1966,MEX,20
1966,BRA,19
1966,FRA,19
1966,ESP,18
1966,DEU,18
1966,PRK,11
1966,RUS,11
1966,UKR,5
1966,GEO,3
1966,AZE,2
1966,MCO,1
1966,EGY,1
1966,BLR,1
1970,BEL,25
1970,ITA,23
1970,URY,22
1970,BRA,21
1970,BGR,21
1970,SLV,21
1970,GBR,21
1970,ISR,21
1970,MEX,21
1970,ROU,21
1970,PER,20
1970,DEU,20
1970,MAR,18
1970,SWE,15
1970,RUS,11
1970,CSK,8
1970,SVK,8
1970,UKR,6
1970,GEO,5
1970,CZE,4
1970,NLD,1
1970,CHE,1
1974,DEU,44
1974,BRA,25
1974,GBR,23
1974,BGR,21
1974,ITA,21
1974,POL,21
1974,COD,21
1974,AUS,20
1974,HTI,19
1974,ARG,18
1974,CHL,16
1974,NLD,15
1974,SWE,15
1974,URY,15
1974,ESP,8
1974,SRB,8
1974,HRV,7
1974,BIH,5
1974,MEX,4
1974,FRA,3
1974,BEL,2
1974,PRT,1
1974,USA,1
1974,CHE,1
1974,SVN,1
1978,DEU,29
1978,ESP,23
1978,GBR,23
1978,MEX,23
1978,BRA,21
1978,FRA,21
1978,HUN,21
1978,IRN,20
1978,ITA,19
1978,PER,19
1978,POL,19
1978,TUN,19
1978,ARG,17
1978,AUT,16
1978,SWE,16
1978,NLD,15
1978,BEL,6
1978,MCO,2
1978,SAU,2
1978,URY,1
1978,CHE,1
1982,GBR,65
1982,FRA,33
1982,ESP,28
1982,BEL,26
1982,ITA,25
1982,DEU,23
1982,KWT,22
1982,CHL,21
1982,HND,21
1982,BRA,20
1982,POL,19
1982,SLV,18
1982,HUN,17
1982,AUT,16
1982,DZA,15
1982,ARG,15
1982,PER,15
1982,CMR,14
1982,NZL,13
1982,CZE,9
1982,RUS,8
1982,UKR,8
1982,HRV,8
1982,CSK,7
1982,AUS,5
1982,SRB,5
1982,SVK,4
1982,MCO,4
1982,GEO,4
1982,COL,3
1982,CHE,2
1982,USA,2
1982,MEX,2
1982,BIH,2
1982,URY,1
1982,EGY,1
1982,PRT,1
1982,ARM,1
1982,BLR,1
1982,MNE,1
1986,GBR,67
1986,FRA,35
1986,ITA,34
1986,ESP,25
1986,MEX,24
1986,BRA,24
1986,BEL,23
1986,PRT,20
1986,DEU,20
1986,IRQ,20
1986,BGR,19
1986,HUN,19
1986,ARG,18
1986,POL,18
1986,KOR,18
1986,MAR,17
1986,UKR,15
1986,DZA,11
1986,PRY,11
1986,USA,8
1986,CAN,7
1986,DNK,7
1986,NLD,6
1986,COL,6
1986,URY,6
1986,RUS,5
1986,MCO,4
1986,CHE,4
1986,GRC,2
1986,TUR,1
1986,GEO,1
1986,BLR,1
1990,GBR,60
1990,ITA,52
1990,ESP,34
1990,DEU,25
1990,FRA,22
1990,CRI,22
1990,AUT,21
1990,BEL,21
1990,ROU,21
1990,EGY,20
1990,KOR,20
1990,COL,19
1990,NLD,19
1990,ARE,18
1990,USA,15
1990,ARG,10
1990,PRT,10
1990,BRA,10
1990,CMR,10
1990,SWE,10
1990,CZE,9
1990,UKR,9
1990,URY,8
1990,SRB,8
1990,CHE,5
1990,RUS,5
1990,SVK,4
1990,HRV,4
1990,MEX,2
1990,CSK,2
1990,BGR,1
1990,GRC,1
1990,BLR,1
1990,MNE,1
1994,ITA,43
1994,ESP,43
1994,DEU,42
1994,GBR,41
1994,BEL,31
1994,GRC,23
1994,MEX,22
1994,SAU,21
1994,FRA,20
1994,CHE,20
1994,COL,19
1994,NLD,19
1994,KOR,19
1994,BOL,16
1994,ARG,13
1994,ROU,13
1994,BRA,12
