tournament_id,year,fuente,team,team_code,player_id,wd_id,nombre,posicion,edad,altura_cm,pais_nacimiento,iso_nacimiento,nacio_en_pais,club,club_iso,juega_local,hpi,ciudad_nac,lat_nac,lon_nac,n_mundiales,es_repetidor
WC-1930,1930,jfjelstul,Argentina,ARG,P-69244,Q251533,Ángel Bossio,goal keeper,25.2,178,Argentina,ARG,1,,,,61.628461,Avellaneda,-34.6625,-58.367777777777775,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-23160,Q553344,Juan Botasso,goal keeper,21.7,172,Argentina,ARG,1,Argentino de Quilmes,ARG,1,58.92058,Quilmes,-34.716666666667,-58.266666666667,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-99230,Q455364,Roberto Cherro,forward,23.4,174,Argentina,ARG,1,Boca Juniors,ARG,1,61.894095,Barracas,-34.65,-58.383333333333,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-41921,Q667911,Alberto Chividini,defender,23.4,178,Argentina,ARG,1,Club Atlético Estudiantil Porteño,ARG,1,57.337274,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-22739,Q924366,José Della Torre,defender,24.3,178,Argentina,ARG,1,,,,61.423667,San Isidro,-34.466666666667,-58.516666666667,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-30720,Q517922,Attilio Demaría,forward,21.3,176,Argentina,ARG,1,Club Atlético Estudiantil Porteño,ARG,1,63.337018,Buenos Aires,-34.599722222222,-58.381944444444,2,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-30543,Q715466,Juan Evaristo,midfielder,28.1,171,Argentina,ARG,1,Club Sportivo Palermo,ARG,1,60.268753,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-23897,Q553564,Mario Evaristo,forward,21.6,170,Argentina,ARG,1,Boca Juniors,ARG,1,62.244011,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-60505,Q732682,Manuel Ferreira,forward,24.7,176,Argentina,ARG,1,,,,63.156669,Trenque Lauquen,-35.983333333333334,-62.733333333333334,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-25760,Q315333,Luis Monti,midfielder,29.2,167,Argentina,ARG,1,San Lorenzo de Almagro,ARG,1,68.860024,Buenos Aires,-34.599722222222,-58.381944444444,2,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-49556,Q536236,Ramón Muttis,defender,31.3,182,Argentina,ARG,1,Boca Juniors,ARG,1,60.076728,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-91238,Q511036,Rodolfo Orlandini,midfielder,25.5,183,Argentina,ARG,1,Genoa CFC,ITA,0,59.576059,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-58537,Q206672,Fernando Paternoster,defender,27.1,179,Argentina,ARG,1,Racing Club,ARG,1,59.295107,Pehuajó,-35.8,-61.9,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-24312,Q974356,Natalio Perinetti,forward,29.5,172,Argentina,ARG,1,Racing Club,ARG,1,56.778743,Barracas,-34.65,-58.383333333333,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-70166,Q465954,Carlos Peucelle,forward,21.8,171,Argentina,ARG,1,Club Sportivo Buenos Aires,ARG,1,61.993973,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-49151,Q1287134,Edmundo Piaggio,defender,24.8,,Argentina,ARG,1,Club Atlético Lanús,ARG,1,58.07668,Lanús,-34.7,-58.4,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-44916,Q704298,Alejandro Scopelli,forward,22.2,173,Argentina,ARG,1,Estudiantes de La Plata,ARG,1,63.348077,La Plata,-34.933333333333,-57.95,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-21441,Q1043251,Carlos Spadaro,forward,28.4,168,Argentina,ARG,1,Club Atlético Lanús,ARG,1,57.942069,Lanús,-34.7,-58.4,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-56486,Q309645,Guillermo Stábile,forward,25.5,169,Argentina,ARG,1,Club Atlético Huracán,ARG,1,71.116232,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-56908,Q1363796,Arico Suárez,midfielder,22.1,167,Spain,ESP,0,Ferro Carril Oeste,ARG,1,59.219558,Santa Brígida,28.0337963,-15.4998362,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-37326,Q10131,Francisco Varallo,forward,20.4,170,Argentina,ARG,1,Club de Gimnasia y Esgrima La Plata,ARG,1,67.935756,La Plata,-34.933333333333,-57.95,1,0
WC-1930,1930,jfjelstul,Argentina,ARG,P-76546,Q365224,Adolfo Zumelzú,midfielder,28.5,174,Argentina,ARG,1,Club Sportivo Palermo,ARG,1,60.270022,Buenos Aires,-34.599722222222,-58.381944444444,1,0
WC-1930,1930,jfjelstul,Belgium,BEL,P-92795,Q2439167,Ferdinand Adams,forward,27.2,,Belgium,BEL,1,Royal Sporting Club Anderlecht,BEL,1,55.84516,Anderlecht,50.839166666666664,4.329722222222222,1,0
WC-1930,1930,jfjelstul,Belgium,BEL,P-20690,Q694857,Arnold Badjou,goal keeper,21.0,174,Belgium,BEL,1,Royal Daring Club Molenbeek,BEL,1,57.617547,Laeken,50.86666666666667,4.35,3,0
WC-1930,1930,jfjelstul,Belgium,BEL,P-40714,Q971508,Pierre Braine,midfielder,29.7,175,Belgium,BEL,1,K. Beerschot V.A.C.,BEL,1,55.335476,Berchem,51.1931,4.4214,1,0
WC-1930,1930,jfjelstul,Belgium,BEL,P-41990,Q622330,Alexis Chantraine,midfielder,29.3,,Belgium,BEL,1,R.F.C. de Liège,BEL,1,54.393942,Liège,50.639722222222225,5.570555555555556,1,0
WC-1930,1930,jfjelstul,Belgium,BEL,P-97126,Q940190,Jean De Bie,goal keeper,38.2,184,Belgium,BEL,1,Royal Racing Club de Bruxelles,BEL,1,58.533586,Uccle,50.80361111111111,4.333888888888889,1,0
