"id","name","date_of_birth","national_team","country_iso3","birth_country","birth_country_iso3","birthplace_city","match_addr","lon","lat","position","club","club_competition","is_active"
"591949","Aaron Hickey","2002-06-10","Scotland","SCO","Scotland","SCO","Glasgow","Glasgow, Scotland","-4,2501687","55,861155","Right-Back","FC Brentford","Premier League","True"
"243633","Aaron Tshibola","1995-01-02","Dem. Rep. Congo","COD","United Kingdom","GBR","London","London, England","-0,1277653","51,5074456","Central Midfield","Kilmarnock FC","Premiership","True"
"477758","Aaron Wan-Bissaka","1997-11-26","Dem. Rep. Congo","COD","United Kingdom","GBR","London","London, England","-0,1277653","51,5074456","Right-Back","West Ham United","Premier League","True"
"754037","Abbosbek Fayzullaev","2003-10-03","Uzbekistan","UZB","Uzbekistan","UZB","Sirdaryo","Sirdaryo, Uzbekistan","71,7473064","40,8950018","Right Winger","Istanbul Basaksehir FK","SÃ¼per Lig","True"
"658805","Abdallah Al-Fakhouri","2000-01-22","Jordan","JOR","Jordan","JOR","Russeifa","Russeifa, Jordan","36,0434611","32,0174989","Goalkeeper","Al-Wehdat","Jordanian Pro League","True"
"882197","Abdallah Nasib","1994-02-25","Jordan","JOR","Jordan","JOR","Aqaba","Aqaba, Jordan","35,0075433","29,5266483","Centre-Back","Al-Zawra'a SC","Iraq Stars League","True"
"724520","Abde Ezzalzouli","2001-12-17","Morocco","MAR","Morocco","MAR","BÃ©ni Mellal","BÃ©ni Mellal, Morocco","-6,353335","32,334193","Left Winger","Real Betis Sevilla","LaLiga","True"
"584250","Abdelmouhib Chamakh","2001-08-25","Tunisia","TUN","Tunisia","TUN","Medenine","Medenine, Tunisia","11,2870254","32,9819987","Goalkeeper","Club Africain Tunis","Tunisian Ligue 1","True"
"265383","Abdoulaye Seck","1992-06-04","Senegal","SEN","Senegal","SEN","Mbour","Mbour, Senegal","-16,971484","14,4207396","Centre-Back","Maccabi Haifa","Ligat ha'Al","True"
"763079","Abdukodir Khusanov","2004-02-29","Uzbekistan","UZB","Uzbekistan","UZB","Tashkent","Tashkent, Uzbekistan","69,2787079","41,3123363","Centre-Back","Manchester City","Premier League","True"
"113915","Abdulaziz Hatim","1990-10-28","Qatar","QAT","Qatar","QAT","Doha","Doha, Qatar","51,5081812","25,3108807","Central Midfield","Al-Rayyan SC","Stars League","True"
"509894","Abdulelah Al-Amri","1997-01-15","Saudi Arabia","SAU","Saudi Arabia","SAU","Ta'if","Ta'if, Saudi Arabia","40,4158308","21,2702801","Centre-Back","Al-Nasr Riad","Saudi Pro League","True"
"864121","Abdul Fatawu","2004-03-08","Ghana","GHA","Ghana","GHA","Tamale","Tamale, Ghana","-0,8423986","9,4051992","Right Winger","Leicester City","Championship","True"
"199316","AbdÃ¼lkerim BardakcÄ±","1994-09-07","Turkey","TUR","Turkey","TUR","Konya","Konya, TÃ¼rkiye","32,4924376","37,872734","Centre-Back","Galatasaray Istanbul","SÃ¼per Lig","True"
