Entity,Code,Year,Men,Women
Afghanistan,AFG,1896,161.1641,149.18774
Afghanistan,AFG,1897,161.19629,149.32146
Afghanistan,AFG,1898,161.2283,149.45549
Afghanistan,AFG,1899,161.26073,149.58951
Afghanistan,AFG,1900,161.29308,149.72359
Afghanistan,AFG,1901,161.32549,149.85757
Afghanistan,AFG,1902,161.35835,149.99094
Afghanistan,AFG,1903,161.39122,150.12364
Afghanistan,AFG,1904,161.424,150.25514
Afghanistan,AFG,1905,161.45676,150.3858
Afghanistan,AFG,1906,161.48941,150.51567
Afghanistan,AFG,1907,161.52293,150.64473
Afghanistan,AFG,1908,161.5573,150.77312
Afghanistan,AFG,1909,161.5924,150.90091
Afghanistan,AFG,1910,161.62889,151.02913
Afghanistan,AFG,1911,161.66783,151.15802
Afghanistan,AFG,1912,161.70976,151.28764
Afghanistan,AFG,1913,161.7545,151.41823
Afghanistan,AFG,1914,161.80159,151.5495
Afghanistan,AFG,1915,161.85123,151.68155
Afghanistan,AFG,1916,161.90298,151.81436
Afghanistan,AFG,1917,161.95699,151.94794
Afghanistan,AFG,1918,162.01262,152.08186
Afghanistan,AFG,1919,162.06923,152.21523
Afghanistan,AFG,1920,162.12595,152.34839
Afghanistan,AFG,1921,162.18266,152.48058
Afghanistan,AFG,1922,162.23845,152.61163
Afghanistan,AFG,1923,162.29382,152.74081
Afghanistan,AFG,1924,162.34937,152.86862
Afghanistan,AFG,1925,162.40637,152.99693
Afghanistan,AFG,1926,162.4658,153.1261
Afghanistan,AFG,1927,162.52875,153.25594
Afghanistan,AFG,1928,162.59532,153.3862
Afghanistan,AFG,1929,162.66498,153.51706
Afghanistan,AFG,1930,162.73637,153.64792
Afghanistan,AFG,1931,162.80855,153.77724
Afghanistan,AFG,1932,162.88028,153.90492
Afghanistan,AFG,1933,162.95183,154.03151
Afghanistan,AFG,1934,163.0234,154.15742
Afghanistan,AFG,1935,163.09491,154.28247
Afghanistan,AFG,1936,163.16595,154.40701
Afghanistan,AFG,1937,163.2363,154.53047
Afghanistan,AFG,1938,163.30539,154.65178
Afghanistan,AFG,1939,163.373,154.77025
Afghanistan,AFG,1940,163.439,154.88445
Afghanistan,AFG,1941,163.50415,154.99435
Afghanistan,AFG,1942,163.57007,155.10002
Afghanistan,AFG,1943,163.63829,155.20287
Afghanistan,AFG,1944,163.70876,155.30278
Afghanistan,AFG,1945,163.78105,155.39987
Afghanistan,AFG,1946,163.8554,155.49445
Afghanistan,AFG,1947,163.93109,155.58578
Afghanistan,AFG,1948,164.00739,155.67381
Afghanistan,AFG,1949,164.08322,155.75842
Afghanistan,AFG,1950,164.1576,155.83998
Afghanistan,AFG,1951,164.22906,155.9181
Afghanistan,AFG,1952,164.29672,155.99117
Afghanistan,AFG,1953,164.36061,156.05959
Afghanistan,AFG,1954,164.42049,156.12288
Afghanistan,AFG,1955,164.47694,156.18112
Afghanistan,AFG,1956,164.53061,156.23419
Afghanistan,AFG,1957,164.58313,156.28256
Afghanistan,AFG,1958,164.63573,156.32692
Afghanistan,AFG,1959,164.68878,156.3675
Afghanistan,AFG,1960,164.74278,156.40425
Afghanistan,AFG,1961,164.79713,156.43686
Afghanistan,AFG,1962,164.84982,156.46487
Afghanistan,AFG,1963,164.89914,156.48643
Afghanistan,AFG,1964,164.94362,156.5002
Afghanistan,AFG,1965,164.98312,156.50537
