iso3,region,wave,year,studies,var,pct,n
ALB,Eastern Europe & Central Asia,3,1998,WVS,C002,98.47,978
ALB,Eastern Europe & Central Asia,3,1998,WVS,C001,49.41,937
ALB,Eastern Europe & Central Asia,3,1998,WVS,E143,27.13,892
ALB,Eastern Europe & Central Asia,3,1998,WVS,G006,88.84,950
ALB,Eastern Europe & Central Asia,3,1998,WVS,A035,81.08,999
ALB,Eastern Europe & Central Asia,3,1998,WVS,A165,27.0,900
ALB,Eastern Europe & Central Asia,3,1998,WVS,A124_02,7.81,999
ALB,Eastern Europe & Central Asia,3,1998,WVS,A124_06,10.21,999
ALB,Eastern Europe & Central Asia,4,2002,WVS,C002,79.71,951
ALB,Eastern Europe & Central Asia,4,2002,WVS,C001,46.71,987
ALB,Eastern Europe & Central Asia,4,2002,WVS,E143,24.84,938
ALB,Eastern Europe & Central Asia,4,2002,WVS,G006,93.71,986
ALB,Eastern Europe & Central Asia,4,2002,WVS,A035,80.0,1000
ALB,Eastern Europe & Central Asia,4,2002,WVS,A165,24.37,952
ALB,Eastern Europe & Central Asia,4,2002,WVS,A124_02,30.4,1000
ALB,Eastern Europe & Central Asia,4,2002,WVS,A124_06,16.5,1000
ALB,Eastern Europe & Central Asia,5,2008,EVS,C002,76.13,1457
ALB,Eastern Europe & Central Asia,5,2008,EVS,C001,33.29,1457
ALB,Eastern Europe & Central Asia,5,2008,EVS,E143,41.77,1321
ALB,Eastern Europe & Central Asia,5,2008,EVS,G038,32.43,1425
ALB,Eastern Europe & Central Asia,5,2008,EVS,G040,39.79,1427
ALB,Eastern Europe & Central Asia,5,2008,EVS,G041,41.89,1376
ALB,Eastern Europe & Central Asia,5,2008,EVS,G043,44.23,1403
ALB,Eastern Europe & Central Asia,5,2008,EVS,E161,27.95,1470
ALB,Eastern Europe & Central Asia,5,2008,EVS,E156,20.02,1493
ALB,Eastern Europe & Central Asia,5,2008,EVS,E154,37.25,1515
ALB,Eastern Europe & Central Asia,5,2008,EVS,E157,13.45,1446
ALB,Eastern Europe & Central Asia,5,2008,EVS,E158,15.92,1437
ALB,Eastern Europe & Central Asia,5,2008,EVS,G033,85.07,1523
ALB,Eastern Europe & Central Asia,5,2008,EVS,G034,83.21,1516
ALB,Eastern Europe & Central Asia,5,2008,EVS,G035,88.83,1514
ALB,Eastern Europe & Central Asia,5,2008,EVS,G036,89.59,1516
ALB,Eastern Europe & Central Asia,5,2008,EVS,G006,87.63,1460
ALB,Eastern Europe & Central Asia,5,2008,EVS,A035,53.93,1534
ALB,Eastern Europe & Central Asia,5,2008,EVS,A165,10.36,1373
ALB,Eastern Europe & Central Asia,5,2008,EVS,A124_02,37.19,1405
ALB,Eastern Europe & Central Asia,5,2008,EVS,A124_06,31.83,1394
ALB,Eastern Europe & Central Asia,7,2018,EVS,C002,76.43,1430
ALB,Eastern Europe & Central Asia,7,2018,EVS,C002_01,76.43,1430
ALB,Eastern Europe & Central Asia,7,2018,EVS,C001,30.16,1433
ALB,Eastern Europe & Central Asia,7,2018,EVS,C001_01,30.16,1433
ALB,Eastern Europe & Central Asia,7,2018,EVS,G052,9.04,1381
ALB,Eastern Europe & Central Asia,7,2018,EVS,G038,29.27,1365
ALB,Eastern Europe & Central Asia,7,2018,EVS,G040,20.76,1324
ALB,Eastern Europe & Central Asia,7,2018,EVS,G041,27.95,1332
ALB,Eastern Europe & Central Asia,7,2018,EVS,G043,73.82,1409
ALB,Eastern Europe & Central Asia,7,2018,EVS,E161,33.08,1420
ALB,Eastern Europe & Central Asia,7,2018,EVS,E156,50.38,1429
ALB,Eastern Europe & Central Asia,7,2018,EVS,E154,48.8,1429
ALB,Eastern Europe & Central Asia,7,2018,EVS,E157,12.87,1417
ALB,Eastern Europe & Central Asia,7,2018,EVS,E158,16.48,1419
ALB,Eastern Europe & Central Asia,7,2018,EVS,G007_36_B,59.84,1341
ALB,Eastern Europe & Central Asia,7,2018,EVS,G007_35_B,52.84,1358
ALB,Eastern Europe & Central Asia,7,2018,EVS,G007_34_B,91.18,1412
ALB,Eastern Europe & Central Asia,7,2018,EVS,G007_18_B,30.27,1429
ALB,Eastern Europe & Central Asia,7,2018,EVS,G033,68.28,1434
ALB,Eastern Europe & Central Asia,7,2018,EVS,G034,84.52,1429
ALB,Eastern Europe & Central Asia,7,2018,EVS,G035,94.93,1432
ALB,Eastern Europe & Central Asia,7,2018,EVS,G036,96.0,1433
ALB,Eastern Europe & Central Asia,7,2018,EVS,G006,95.0,1423
ALB,Eastern Europe & Central Asia,7,2018,EVS,A035,83.49,1434
ALB,Eastern Europe & Central Asia,7,2018,EVS,A165,2.79,1430
ALB,Eastern Europe & Central Asia,7,2018,EVS,A124_02,7.78,1429
ALB,Eastern Europe & Central Asia,7,2018,EVS,A124_06,7.39,1428
AND,Western Europe,5,2005,WVS,C002,29.79,1000
AND,Western Europe,5,2005,WVS,C001,4.38,1001
AND,Western Europe,5,2005,WVS,E143,22.88,996
AND,Western Europe,5,2005,WVS,G007_36_B,18.79,982
AND,Western Europe,5,2005,WVS,G007_35_B,24.01,982
AND,Western Europe,5,2005,WVS,G007_34_B,73.61,1000
AND,Western Europe,5,2005,WVS,G007_18_B,48.64,1000
AND,Western Europe,5,2005,WVS,G006,88.46,951
AND,Western Europe,5,2005,WVS,A035,88.42,1003
AND,Western Europe,5,2005,WVS,A165,20.14,994
AND,Western Europe,5,2005,WVS,A124_02,2.62,1003
AND,Western Europe,5,2005,WVS,A124_06,2.43,1003
AND,Western Europe,7,2018,WVS,H002_01,0.8,1004
AND,Western Europe,7,2018,WVS,H002_02,17.03,1004
AND,Western Europe,7,2018,WVS,H002_03,3.0,999
AND,Western Europe,7,2018,WVS,H002_04,3.4,1001
AND,Western Europe,7,2018,WVS,H002_05,6.22,996
AND,Western Europe,7,2018,WVS,C002,28.26,998
AND,Western Europe,7,2018,WVS,C002_01,28.26,998
AND,Western Europe,7,2018,WVS,C001,2.5,1001
AND,Western Europe,7,2018,WVS,C001_01,2.5,1001
AND,Western Europe,7,2018,WVS,E143,28.06,980
AND,Western Europe,7,2018,WVS,G052,3.5,1001
AND,Western Europe,7,2018,WVS,G007_36_B,37.78,990
AND,Western Europe,7,2018,WVS,G007_35_B,42.26,989
AND,Western Europe,7,2018,WVS,G007_34_B,70.67,999
AND,Western Europe,7,2018,WVS,G007_18_B,36.59,1003
AND,Western Europe,7,2018,WVS,G006,92.24,477
AND,Western Europe,7,2018,WVS,A035,69.92,1004
AND,Western Europe,7,2018,WVS,A165,25.57,1001
AND,Western Europe,7,2018,WVS,A124_02,3.88,1004
AND,Western Europe,7,2018,WVS,A124_06,2.69,1004
ARG,Latin America,1,1984,WVS,G006,83.83,947
ARG,Latin America,1,1984,WVS,A035,43.89,1005
ARG,Latin America,1,1984,WVS,A165,27.01,912
ARG,Latin America,1,1984,WVS,A124_02,2.52,1005
ARG,Latin America,1,1984,WVS,A124_06,0.6,1005
ARG,Latin America,2,1991,WVS,C002,60.33,978
ARG,Latin America,2,1991,WVS,C001,24.29,988
ARG,Latin America,2,1991,WVS,C005,10.47,974
ARG,Latin America,2,1991,WVS,G007_01,23.76,989
ARG,Latin America,2,1991,WVS,G006,86.06,961
ARG,Latin America,2,1991,WVS,A035,77.64,1002
ARG,Latin America,2,1991,WVS,A165,23.31,961
ARG,Latin America,2,1991,WVS,A124_02,2.69,1002
ARG,Latin America,2,1991,WVS,A124_06,2.1,1002
ARG,Latin America,3,1995,WVS,C002,77.56,1049
ARG,Latin America,3,1995,WVS,C001,23.91,1068
ARG,Latin America,3,1995,WVS,E143,41.47,1043
ARG,Latin America,3,1995,WVS,G006,88.46,1014
ARG,Latin America,3,1995,WVS,A035,73.56,1079
ARG,Latin America,3,1995,WVS,A165,17.53,1053
ARG,Latin America,3,1995,WVS,A124_02,4.57,1079
ARG,Latin America,3,1995,WVS,A124_06,5.69,1079
ARG,Latin America,4,1999,WVS,C002,73.78,1258
ARG,Latin America,4,1999,WVS,C001,25.74,1263
ARG,Latin America,4,1999,WVS,E143,44.41,1197
ARG,Latin America,4,1999,WVS,G006,92.47,1218
ARG,Latin America,4,1999,WVS,A035,70.38,1280
ARG,Latin America,4,1999,WVS,A165,15.39,1248
ARG,Latin America,4,1999,WVS,A124_02,4.54,1280
ARG,Latin America,4,1999,WVS,A124_06,5.85,1280
ARG,Latin America,5,2006,WVS,C002,71.88,977
ARG,Latin America,5,2006,WVS,C001,27.66,977
ARG,Latin America,5,2006,WVS,E143,40.15,971
ARG,Latin America,5,2006,WVS,G007_36_B,40.75,891
ARG,Latin America,5,2006,WVS,G007_35_B,37.24,901
ARG,Latin America,5,2006,WVS,G007_34_B,71.53,967
ARG,Latin America,5,2006,WVS,G007_18_B,29.4,976
ARG,Latin America,5,2006,WVS,G006,95.05,954
ARG,Latin America,5,2006,WVS,A035,71.47,1002
ARG,Latin America,5,2006,WVS,A165,17.6,983
ARG,Latin America,5,2006,WVS,A124_02,2.28,1002
ARG,Latin America,5,2006,WVS,A124_06,2.79,1002
ARG,Latin America,6,2013,WVS,H002_01,44.03,1021
ARG,Latin America,6,2013,WVS,H002_02,54.58,1022
ARG,Latin America,6,2013,WVS,H002_03,13.63,999
ARG,Latin America,6,2013,WVS,H002_04,9.2,962
ARG,Latin America,6,2013,WVS,H002_05,38.72,960
ARG,Latin America,6,2013,WVS,C002,51.83,1008
ARG,Latin America,6,2013,WVS,C001,15.23,1016
ARG,Latin America,6,2013,WVS,G007_36_B,43.59,940
ARG,Latin America,6,2013,WVS,G007_35_B,42.55,934
ARG,Latin America,6,2013,WVS,G007_34_B,71.67,1015
ARG,Latin America,6,2013,WVS,G007_18_B,28.79,1018
ARG,Latin America,6,2013,WVS,G006,91.98,989
ARG,Latin America,6,2013,WVS,A035,58.19,1030
ARG,Latin America,6,2013,WVS,A165,19.85,996
ARG,Latin America,6,2013,WVS,A124_02,0.99,1030
ARG,Latin America,6,2013,WVS,A124_06,2.79,1030
ARG,Latin America,7,2017,WVS,H002_01,48.29,992
ARG,Latin America,7,2017,WVS,H002_02,51.23,989
ARG,Latin America,7,2017,WVS,H002_03,21.38,973
ARG,Latin America,7,2017,WVS,H002_04,10.85,966
ARG,Latin America,7,2017,WVS,H002_05,38.32,888
ARG,Latin America,7,2017,WVS,C002,63.5,977
ARG,Latin America,7,2017,WVS,C002_01,63.5,977
ARG,Latin America,7,2017,WVS,C001,13.78,988
ARG,Latin America,7,2017,WVS,C001_01,13.78,988
ARG,Latin America,7,2017,WVS,E143,46.86,968
ARG,Latin America,7,2017,WVS,G052,19.84,975
ARG,Latin America,7,2017,WVS,G007_36_B,41.43,893
ARG,Latin America,7,2017,WVS,G007_35_B,38.69,871
