iso3,year,pct_si,n_valid,n_total,pct_respuesta
ARG,2009,19.3,1192,1200,99.3
BOL,2009,31.7,1173,1200,97.8
BRA,2009,26.4,1191,1204,98.9
CHL,2009,14.7,1155,1200,96.2
COL,2009,12.0,1157,1200,96.4
CRI,2009,11.4,966,1000,96.6
DOM,2009,11.4,945,1000,94.5
ECU,2009,21.7,1136,1200,94.7
GTM,2009,26.9,944,1000,94.4
HND,2009,18.0,953,1000,95.3
MEX,2009,16.8,1159,1200,96.6
NIC,2009,9.9,934,1000,93.4
PAN,2009,11.4,938,1000,93.8
PER,2009,24.7,1146,1200,95.5
PRY,2009,20.5,1183,1200,98.6
SLV,2009,8.3,896,1000,89.6
URY,2009,12.8,1180,1200,98.3
VEN,2009,17.2,1151,1200,95.9
ARG,2020,31.0,1082,1200,90.2
BOL,2020,33.8,1173,1200,97.8
BRA,2020,40.3,1174,1204,97.5
CHL,2020,35.3,1174,1200,97.8
COL,2020,15.1,1183,1200,98.6
CRI,2020,19.4,984,1000,98.4
DOM,2020,14.9,986,1000,98.6
ECU,2020,18.8,1189,1200,99.1
GTM,2020,23.3,971,1000,97.1
HND,2020,14.1,979,1000,97.9
MEX,2020,14.5,1189,1200,99.1
NIC,2020,13.7,972,1000,97.2
PAN,2020,20.1,975,1000,97.5
PER,2020,23.4,1174,1200,97.8
PRY,2020,22.2,1187,1200,98.9
SLV,2020,13.3,991,1000,99.1
URY,2020,13.5,1190,1200,99.2
VEN,2020,20.3,1186,1200,98.8
