iso3,year,grupo,pct_si,n
ARG,2009,afro,43.5,15
ARG,2009,blanco,17.8,768
ARG,2009,indigena,45.3,24
ARG,2009,mestizo,22.1,249
ARG,2009,otros,16.7,34
BOL,2009,afro,44.4,9
BOL,2009,blanco,17.2,58
BOL,2009,indigena,47.0,330
BOL,2009,mestizo,23.4,705
BOL,2009,otros,30.0,20
BRA,2009,afro,36.1,332
BRA,2009,blanco,18.5,502
BRA,2009,indigena,36.4,33
BRA,2009,mestizo,26.9,264
BRA,2009,otros,33.3,33
CHL,2009,afro,35.1,7
CHL,2009,blanco,14.8,667
CHL,2009,indigena,19.3,75
CHL,2009,mestizo,14.5,330
CHL,2009,otros,16.0,17
COL,2009,afro,18.0,149
COL,2009,blanco,8.5,377
COL,2009,indigena,30.1,45
COL,2009,mestizo,10.7,473
COL,2009,otros,26.0,22
CRI,2009,afro,10.3,136
CRI,2009,blanco,11.1,433
CRI,2009,indigena,9.1,33
CRI,2009,mestizo,12.2,312
CRI,2009,otros,19.0,21
DOM,2009,afro,12.6,502
DOM,2009,blanco,12.5,106
DOM,2009,indigena,6.8,59
DOM,2009,mestizo,10.0,250
DOM,2009,otros,7.2,14
ECU,2009,afro,18.1,72
ECU,2009,blanco,18.1,72
ECU,2009,indigena,42.7,75
ECU,2009,mestizo,19.5,876
ECU,2009,otros,25.0,4
GTM,2009,afro,26.6,34
GTM,2009,blanco,16.2,127
GTM,2009,indigena,34.1,394
GTM,2009,mestizo,24.8,325
GTM,2009,otros,6.9,29
HND,2009,afro,14.1,44
HND,2009,blanco,8.2,162
HND,2009,indigena,24.7,82
HND,2009,mestizo,18.6,540
HND,2009,otros,42.5,34
MEX,2009,afro,23.8,21
MEX,2009,blanco,17.0,53
MEX,2009,indigena,25.6,160
MEX,2009,mestizo,13.6,649
MEX,2009,otros,20.7,29
NIC,2009,afro,15.2,85
NIC,2009,blanco,8.7,68
NIC,2009,indigena,19.8,56
NIC,2009,mestizo,8.0,625
NIC,2009,otros,6.9,13
PAN,2009,afro,13.2,144
PAN,2009,blanco,7.8,166
PAN,2009,indigena,26.3,38
PAN,2009,mestizo,10.9,533
PAN,2009,otros,12.9,31
PER,2009,afro,20.9,43
PER,2009,blanco,22.2,81
PER,2009,indigena,53.0,100
PER,2009,mestizo,22.0,809
PER,2009,otros,24.2,33
PRY,2009,afro,12.1,28
PRY,2009,blanco,19.0,447
PRY,2009,indigena,29.5,17
PRY,2009,mestizo,13.2,415
PRY,2009,otros,21.6,47
SLV,2009,afro,7.6,27
SLV,2009,blanco,9.3,100
SLV,2009,indigena,15.7,44
SLV,2009,mestizo,9.3,570
SLV,2009,otros,4.4,20
URY,2009,afro,30.6,49
URY,2009,blanco,10.7,929
URY,2009,indigena,33.3,6
URY,2009,mestizo,16.9,65
URY,2009,otros,6.1,33
VEN,2009,afro,23.9,319
VEN,2009,blanco,15.5,304
VEN,2009,indigena,3.8,64
VEN,2009,mestizo,16.1,385
VEN,2009,otros,6.7,31
ARG,2010,afro,21.8,8
ARG,2010,blanco,16.7,890
ARG,2010,indigena,36.1,11
ARG,2010,mestizo,24.0,191
ARG,2010,otros,24.9,28
BOL,2010,afro,31.6,19
BOL,2010,blanco,36.2,47
BOL,2010,indigena,63.7,278
BOL,2010,mestizo,34.4,720
BOL,2010,otros,50.0,2
BRA,2010,afro,39.3,387
BRA,2010,blanco,21.5,498
BRA,2010,indigena,20.0,30
BRA,2010,mestizo,36.3,193
BRA,2010,otros,24.5,49
CHL,2010,afro,37.2,14
CHL,2010,blanco,19.6,708
CHL,2010,indigena,35.1,85
CHL,2010,mestizo,27.4,300
CHL,2010,otros,16.2,11
COL,2010,afro,18.0,117
COL,2010,blanco,15.5,345
COL,2010,indigena,26.1,72
COL,2010,mestizo,17.7,529
COL,2010,otros,48.4,12
CRI,2010,afro,13.8,167
CRI,2010,blanco,12.7,474
CRI,2010,indigena,5.6,18
CRI,2010,mestizo,13.7,226
CRI,2010,otros,22.2,18
DOM,2010,afro,10.5,550
DOM,2010,blanco,19.4,91
DOM,2010,indigena,28.2,21
DOM,2010,mestizo,17.8,256
DOM,2010,otros,14.9,27
ECU,2010,afro,37.8,74
ECU,2010,blanco,16.9,65
ECU,2010,indigena,14.7,68
ECU,2010,mestizo,13.4,937
ECU,2010,otros,20.0,10
GTM,2010,afro,38.0,24
GTM,2010,blanco,19.1,217
GTM,2010,indigena,40.2,352
GTM,2010,mestizo,22.8,310
GTM,2010,otros,28.2,14
HND,2010,afro,25.3,46
HND,2010,blanco,21.8,123
HND,2010,indigena,33.0,85
HND,2010,mestizo,16.6,519
HND,2010,otros,18.7,45
MEX,2010,afro,47.1,17
MEX,2010,blanco,25.3,75
MEX,2010,indigena,36.5,178
