iso3,conducta,edad,ideologia,lgbt,migrantes,mujeres,ninguna,otros,pobres,raza_etnia,religion_origen,salud_discap
ARG,0.0,12.2,2.8,4.8,6.3,5.8,10.1,15.3,27.3,11.6,0.0,3.9
BOL,0.9,3.1,4.9,1.3,1.1,5.1,11.5,0.1,48.6,19.7,0.0,3.6
BRA,0.2,1.1,0.4,7.3,0.5,2.4,7.6,1.2,25.1,53.0,1.2,0.1
CHL,0.7,17.8,0.3,8.5,12.3,4.7,1.6,4.9,24.6,20.4,0.2,4.1
COL,6.6,2.7,0.8,12.7,6.1,1.8,13.9,1.5,19.4,32.7,0.4,1.5
CRI,2.5,5.3,1.6,7.2,22.3,4.0,8.5,5.3,30.5,10.7,0.3,1.6
DOM,1.0,2.1,3.4,8.8,24.2,9.5,11.5,5.3,30.8,1.8,0.4,1.1
ECU,0.9,3.4,2.2,6.1,6.9,2.1,16.1,6.2,27.7,24.6,0.4,3.5
GTM,3.5,3.2,0.6,2.7,0.5,5.0,12.6,4.2,36.9,28.2,0.7,1.8
HND,11.6,2.6,6.4,10.0,0.3,2.7,15.1,8.0,29.3,12.7,0.3,1.1
MEX,0.6,6.2,0.3,4.8,3.5,7.8,3.0,4.2,39.3,26.8,0.4,3.3
NIC,5.5,2.3,15.4,10.8,0.6,3.3,26.0,9.4,20.1,4.3,0.8,1.4
PAN,2.2,1.0,1.6,7.8,5.2,0.3,17.4,10.3,18.2,34.5,0.5,0.8
PER,1.4,2.9,0.5,5.9,4.8,1.7,9.7,6.0,41.4,23.0,0.2,2.4
PRY,1.6,4.3,1.0,6.5,0.4,2.3,3.5,2.7,53.8,22.8,0.0,1.3
SLV,11.9,3.9,2.5,10.9,0.2,2.1,18.1,6.4,37.3,3.2,0.5,2.8
URY,1.9,4.6,0.5,8.7,5.4,2.4,17.9,13.1,22.4,18.2,0.7,4.2
VEN,1.2,9.9,12.0,1.6,1.0,0.4,28.2,3.7,34.7,4.1,0.6,2.7
