iso3,ronda,item,item_label,pct_hostil,n
URY,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,30.5,1170
SLV,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,33.2,947
VEN,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,34.9,1140
ARG,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,38.6,1067
PRY,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,38.9,1106
NIC,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,39.9,865
HND,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,40.0,942
DOM,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,41.6,979
BRA,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,41.9,1137
CHL,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,46.9,1031
CRI,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,48.2,968
PAN,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,56.3,977
ECU,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,57.1,1177
MEX,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,57.6,1172
PER,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,58.1,1156
COL,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,60.4,1165
BOL,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,61.5,1154
GTM,2020,C_004_201,Recibir inmigrantes de fuera de AL: negativo,66.6,930
URY,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,26.5,1168
SLV,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,34.8,950
PRY,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,35.6,1105
VEN,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,35.8,1144
DOM,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,36.8,973
BRA,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,38.2,1135
HND,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,41.7,926
NIC,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,42.2,858
ARG,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,46.9,1066
CRI,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,47.8,973
CHL,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,53.7,1073
MEX,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,57.0,1170
PAN,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,57.1,975
ECU,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,58.4,1168
BOL,2020,C_004_202,Recibir inmigrantes de America Latina: negativo,61.0,1148
