iso3,region,study,wave,year,cat,pct,n
ALB,Eastern Europe & Central Asia,WVS,3,1998,antecedentes,93.8,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,antecedentes,97.1,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,bebedores,83.0,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,bebedores,80.5,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,drogadictos,83.1,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,drogadictos,84.6,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,extremistas,66.7,999
ALB,Eastern Europe & Central Asia,WVS,3,1998,homosexuales,70.0,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,homosexuales,82.6,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,inestables,57.7,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,inestables,60.5,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,inmigrantes,10.2,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,inmigrantes,16.5,1000
ALB,Eastern Europe & Central Asia,WVS,4,2002,judios,17.0,1000
ALB,Eastern Europe & Central Asia,WVS,4,2002,musulmanes,30.4,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,otra_raza,7.8,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,otra_raza,30.4,1000
ALB,Eastern Europe & Central Asia,WVS,3,1998,otra_religion,25.0,999
ALB,Eastern Europe & Central Asia,WVS,3,1998,sida,63.5,999
ALB,Eastern Europe & Central Asia,WVS,4,2002,sida,69.9,1000
AND,Western Europe,WVS,5,2005,bebedores,53.4,1003
AND,Western Europe,WVS,7,2018,bebedores,62.1,1004
AND,Western Europe,WVS,5,2005,drogadictos,56.9,1003
AND,Western Europe,WVS,7,2018,drogadictos,74.9,1004
AND,Western Europe,WVS,5,2005,homosexuales,5.5,1003
AND,Western Europe,WVS,7,2018,homosexuales,5.2,1004
AND,Western Europe,WVS,5,2005,inmigrantes,2.4,1003
AND,Western Europe,WVS,7,2018,inmigrantes,2.7,1004
AND,Western Europe,WVS,5,2005,minorias_militantes,0.4,1003
AND,Western Europe,WVS,5,2005,otra_raza,2.6,1003
