iso3,region,study,wave,year,cat,pct,n
BGD,South Asia,WVS,4,2002,antecedentes,3.7,1500
CHE,Western Europe,WVS,3,1996,antecedentes,20.3,1212
DEU,Western Europe,WVS,3,1997,antecedentes,24.0,2026
MNE,Eastern Europe & Central Asia,WVS,4,2001,antecedentes,29.3,1060
SRB,Eastern Europe & Central Asia,WVS,4,2001,antecedentes,29.3,1200
SGP,Southeast Asia,WVS,4,2002,antecedentes,30.4,1512
ESP,Western Europe,WVS,4,2000,antecedentes,32.8,1209
SWE,Western Europe,WVS,3,1996,antecedentes,34.9,1009
PRI,Caribbean,WVS,4,2001,antecedentes,36.2,720
HRV,Eastern Europe & Central Asia,WVS,3,1996,antecedentes,41.6,1196
FIN,Western Europe,WVS,3,1996,antecedentes,41.9,987
ARG,Latin America,WVS,4,1999,antecedentes,43.3,1280
NOR,Western Europe,WVS,3,1996,antecedentes,44.0,1127
BRA,Latin America,WVS,3,1997,antecedentes,44.8,1143
AUS,"North America, Australia & New Zealand",WVS,3,1995,antecedentes,45.3,2048
CAN,"North America, Australia & New Zealand",WVS,4,2000,antecedentes,45.3,1931
PER,Latin America,WVS,5,2006,antecedentes,47.2,1500
IND,South Asia,WVS,4,2001,antecedentes,48.2,2002
VNM,Southeast Asia,WVS,4,2001,antecedentes,48.3,1000
GEO,Eastern Europe & Central Asia,WVS,3,1996,antecedentes,49.6,2008
JPN,East Asia,WVS,2,1990,antecedentes,49.7,1011
TWN,East Asia,WVS,3,1998,antecedentes,51.4,780
NZL,"North America, Australia & New Zealand",WVS,5,2004,antecedentes,53.2,954
USA,"North America, Australia & New Zealand",WVS,4,1999,antecedentes,53.8,1200
ZAF,Sub-Saharan Africa,WVS,4,2001,antecedentes,53.9,3000
SVN,Eastern Europe & Central Asia,WVS,3,1995,antecedentes,54.8,1007
IDN,Southeast Asia,WVS,4,2001,antecedentes,55.7,1000
HKG,East Asia,WVS,5,2005,antecedentes,56.6,1224
PAK,South Asia,WVS,4,2001,antecedentes,57.9,2000
DOM,Latin America,WVS,3,1996,antecedentes,62.4,417
CHL,Latin America,WVS,4,2000,antecedentes,62.5,1200
HUN,Eastern Europe & Central Asia,WVS,3,1998,antecedentes,63.4,650
COL,Latin America,WVS,3,1997,antecedentes,63.5,2996
RUS,Eastern Europe & Central Asia,WVS,3,1995,antecedentes,64.4,2040
ROU,Eastern Europe & Central Asia,WVS,3,1998,antecedentes,65.7,1239
BLR,Eastern Europe & Central Asia,WVS,3,1996,antecedentes,66.8,2092
KGZ,Eastern Europe & Central Asia,WVS,4,2003,antecedentes,68.1,1043
MAR,Middle East & North Africa,WVS,4,2001,antecedentes,68.3,1251
AZE,Eastern Europe & Central Asia,WVS,3,1997,antecedentes,68.5,2002
URY,Latin America,WVS,3,1996,antecedentes,69.6,1000
MEX,Latin America,WVS,4,2000,antecedentes,69.6,1535
BGR,Eastern Europe & Central Asia,WVS,3,1997,antecedentes,69.8,1072
DZA,Middle East & North Africa,WVS,4,2002,antecedentes,70.2,1282
LVA,Eastern Europe & Central Asia,WVS,3,1996,antecedentes,70.3,1200
CZE,Eastern Europe & Central Asia,WVS,3,1998,antecedentes,70.6,1147
CHN,East Asia,WVS,4,2001,antecedentes,70.9,1000
PHL,Southeast Asia,WVS,4,2001,antecedentes,71.7,1200
UKR,Eastern Europe & Central Asia,WVS,3,1996,antecedentes,71.9,2811
EST,Eastern Europe & Central Asia,WVS,3,1996,antecedentes,74.2,1021
ZWE,Sub-Saharan Africa,WVS,4,2001,antecedentes,74.7,1002
MKD,Eastern Europe & Central Asia,WVS,4,2001,antecedentes,76.3,1055
VEN,Latin America,WVS,4,2000,antecedentes,77.2,1200
SVK,Eastern Europe & Central Asia,WVS,3,1998,antecedentes,77.5,1095
POL,Eastern Europe & Central Asia,WVS,3,1997,antecedentes,77.8,1153
ARM,Eastern Europe & Central Asia,WVS,3,1997,antecedentes,78.0,2000
LTU,Eastern Europe & Central Asia,WVS,3,1997,antecedentes,78.1,1009
SLV,Latin America,WVS,3,1999,antecedentes,78.2,1254
NGA,Sub-Saharan Africa,WVS,4,2000,antecedentes,78.7,2022
TUR,Eastern Europe & Central Asia,WVS,4,2001,antecedentes,79.9,3401
KOR,East Asia,WVS,4,2001,antecedentes,81.4,1200
GTM,Latin America,WVS,5,2004,antecedentes,83.1,1000
MDA,Eastern Europe & Central Asia,WVS,4,2002,antecedentes,83.4,1008
BIH,Eastern Europe & Central Asia,WVS,4,2001,antecedentes,87.8,1200
SAU,Middle East & North Africa,WVS,4,2003,antecedentes,87.8,1502
UGA,Sub-Saharan Africa,WVS,4,2001,antecedentes,88.1,1002
TZA,Sub-Saharan Africa,WVS,4,2001,antecedentes,88.8,1171
JOR,Middle East & North Africa,WVS,4,2001,antecedentes,96.2,1223
EGY,Middle East & North Africa,WVS,4,2001,antecedentes,96.9,3000
