iso3,region,year,cat,pct,n
GTM,Latin America,2024,bebedores_drogadictos,72.2,790
DOM,Latin America,2024,bebedores_drogadictos,72.3,925
PAN,Latin America,2024,bebedores_drogadictos,72.3,822
HND,Latin America,2024,bebedores_drogadictos,79.2,801
MEX,Latin America,2024,bebedores_drogadictos,80.7,863
BOL,Latin America,2024,bebedores_drogadictos,82.1,1026
COL,Latin America,2024,bebedores_drogadictos,83.0,1017
BRA,Latin America,2024,bebedores_drogadictos,83.2,898
SLV,Latin America,2024,bebedores_drogadictos,84.2,810
PER,Latin America,2024,bebedores_drogadictos,84.8,1069
ECU,Latin America,2024,bebedores_drogadictos,88.5,1075
VEN,Latin America,2024,bebedores_drogadictos,89.6,1020
PRY,Latin America,2024,bebedores_drogadictos,90.1,1114
CHL,Latin America,2024,bebedores_drogadictos,91.9,1099
CRI,Latin America,2024,bebedores_drogadictos,92.6,810
ARG,Latin America,2024,bebedores_drogadictos,94.0,975
URY,Latin America,2024,bebedores_drogadictos,94.9,958
URY,Latin America,2024,homosexuales,6.9,958
ARG,Latin America,2024,homosexuales,7.6,975
BRA,Latin America,2024,homosexuales,7.8,898
CRI,Latin America,2024,homosexuales,13.6,810
MEX,Latin America,2024,homosexuales,15.8,863
CHL,Latin America,2024,homosexuales,17.1,1099
ECU,Latin America,2024,homosexuales,21.4,1075
COL,Latin America,2024,homosexuales,21.5,1017
VEN,Latin America,2024,homosexuales,26.8,1020
PAN,Latin America,2024,homosexuales,27.4,822
PER,Latin America,2024,homosexuales,27.4,1069
BOL,Latin America,2024,homosexuales,28.0,1026
SLV,Latin America,2024,homosexuales,29.4,810
HND,Latin America,2024,homosexuales,33.5,801
DOM,Latin America,2024,homosexuales,34.7,925
PRY,Latin America,2024,homosexuales,35.8,1114
GTM,Latin America,2024,homosexuales,37.7,790
VEN,Latin America,2024,inmigrantes,4.1,1020
ARG,Latin America,2024,inmigrantes,4.4,975
URY,Latin America,2024,inmigrantes,4.4,958
CRI,Latin America,2024,inmigrantes,7.3,810
BRA,Latin America,2024,inmigrantes,7.5,898
PRY,Latin America,2024,inmigrantes,7.5,1114
SLV,Latin America,2024,inmigrantes,8.1,810
HND,Latin America,2024,inmigrantes,9.6,801
PAN,Latin America,2024,inmigrantes,15.8,822
DOM,Latin America,2024,inmigrantes,17.1,925
MEX,Latin America,2024,inmigrantes,17.4,863
ECU,Latin America,2024,inmigrantes,19.5,1075
BOL,Latin America,2024,inmigrantes,19.8,1026
COL,Latin America,2024,inmigrantes,20.4,1017
GTM,Latin America,2024,inmigrantes,21.0,790
PER,Latin America,2024,inmigrantes,27.0,1069
CHL,Latin America,2024,inmigrantes,27.2,1099
VEN,Latin America,2024,jovenes,1.2,1020
MEX,Latin America,2024,jovenes,1.4,863
COL,Latin America,2024,jovenes,1.7,1017
URY,Latin America,2024,jovenes,2.3,958
ARG,Latin America,2024,jovenes,2.6,975
PER,Latin America,2024,jovenes,2.7,1069
PRY,Latin America,2024,jovenes,3.1,1114
CRI,Latin America,2024,jovenes,3.2,810
ECU,Latin America,2024,jovenes,3.9,1075
BOL,Latin America,2024,jovenes,4.2,1026
BRA,Latin America,2024,jovenes,4.2,898
SLV,Latin America,2024,jovenes,4.2,810
HND,Latin America,2024,jovenes,5.0,801
PAN,Latin America,2024,jovenes,5.2,822
DOM,Latin America,2024,jovenes,5.6,925
CHL,Latin America,2024,jovenes,6.5,1099
GTM,Latin America,2024,jovenes,12.5,790
ARG,Latin America,2024,otra_raza,1.2,975
URY,Latin America,2024,otra_raza,2.1,958
BRA,Latin America,2024,otra_raza,3.1,898
CRI,Latin America,2024,otra_raza,3.5,810
COL,Latin America,2024,otra_raza,4.0,1017
VEN,Latin America,2024,otra_raza,4.3,1020
ECU,Latin America,2024,otra_raza,4.8,1075
MEX,Latin America,2024,otra_raza,5.1,863
PER,Latin America,2024,otra_raza,5.1,1069
PRY,Latin America,2024,otra_raza,6.4,1114
BOL,Latin America,2024,otra_raza,7.2,1026
HND,Latin America,2024,otra_raza,8.2,801
CHL,Latin America,2024,otra_raza,8.8,1099
SLV,Latin America,2024,otra_raza,8.8,810
PAN,Latin America,2024,otra_raza,9.2,822
GTM,Latin America,2024,otra_raza,11.9,790
DOM,Latin America,2024,otra_raza,15.6,925
ARG,Latin America,2024,otra_religion,1.7,975
URY,Latin America,2024,otra_religion,3.4,958
CHL,Latin America,2024,otra_religion,3.9,1099
BRA,Latin America,2024,otra_religion,4.5,898
CRI,Latin America,2024,otra_religion,5.4,810
VEN,Latin America,2024,otra_religion,5.7,1020
MEX,Latin America,2024,otra_religion,7.5,863
COL,Latin America,2024,otra_religion,7.8,1017
PER,Latin America,2024,otra_religion,8.0,1069
