iso3,region,latam,wave,year,studies,declarado,n_declarado,declarado_inmig,visto,n_visto,z_dec,z_visto,gap_z,visto_esperado,residuo
ARG,Latin America,True,6,2013,WVS,0.99,1030,2.79,9.2,962,,,,,
ARM,Eastern Europe & Central Asia,False,6,2011,WVS,31.8,1100,18.42,2.21,1001,,,,,
AUS,"North America, Australia & New Zealand",False,6,2012,WVS,4.98,1477,10.55,8.17,1449,,,,,
AZE,Eastern Europe & Central Asia,False,6,2011,WVS,58.1,1002,40.59,1.14,979,,,,,
BLR,Eastern Europe & Central Asia,False,6,2011,WVS,23.1,1535,33.45,1.02,814,,,,,
BRA,Latin America,True,6,2014,WVS,1.93,1486,2.64,15.22,1428,,,,,
CHL,Latin America,True,6,2012,WVS,5.6,1000,7.6,7.97,878,,,,,
CHN,East Asia,False,6,2013,WVS,10.48,2300,12.24,1.02,1952,,,,,
COL,Latin America,True,6,2012,WVS,3.24,1512,4.7,4.67,1477,,,,,
CYP,Western Europe,False,6,2011,WVS,24.83,1000,35.45,9.38,739,,,,,
DEU,Western Europe,False,6,2013,WVS,14.86,2042,21.46,3.05,2021,,,,,
DZA,Middle East & North Africa,False,6,2014,WVS,19.75,1200,28.0,16.23,1072,,,,,
ECU,Latin America,True,6,2013,WVS,34.53,1202,34.61,13.06,1202,,,,,
ESP,Western Europe,False,6,2011,WVS,4.85,1189,7.51,5.42,1172,,,,,
EST,Eastern Europe & Central Asia,False,6,2011,WVS,25.41,1533,37.48,3.73,1247,,,,,
GEO,Eastern Europe & Central Asia,False,6,2014,WVS,32.11,1202,32.78,1.37,1098,,,,,
GHA,Sub-Saharan Africa,False,6,2012,WVS,19.85,1552,20.22,8.74,1469,,,,,
HKG,East Asia,False,6,2014,WVS,18.8,1000,21.1,6.92,867,,,,,
HTI,Latin America,True,6,2016,WVS,6.27,1993,1.51,18.34,1941,,,,,
IND,South Asia,False,6,2012,WVS,25.6,4078,47.11,24.64,3742,,,,,
IRQ,Middle East & North Africa,False,6,2013,WVS,27.67,1200,39.0,13.94,1112,,,,,
JOR,Middle East & North Africa,False,6,2014,WVS,27.17,1200,37.25,13.27,1191,,,,,
JPN,East Asia,False,6,2010,WVS,22.27,2443,36.27,1.44,2009,,,,,
KAZ,Eastern Europe & Central Asia,False,6,2011,WVS,11.15,1500,27.76,6.05,856,,,,,
KGZ,Eastern Europe & Central Asia,False,6,2011,WVS,28.07,1500,30.67,11.89,782,,,,,
KOR,East Asia,False,6,2010,WVS,34.15,1200,44.15,8.25,1002,,,,,
KWT,Middle East & North Africa,False,6,2014,WVS,28.09,1303,37.22,16.62,1197,,,,,
LBN,Middle East & North Africa,False,6,2013,WVS,36.33,1200,40.42,32.58,1148,,,,,
LBY,Middle East & North Africa,False,6,2014,WVS,55.14,2131,59.02,17.53,2050,,,,,
MAR,Middle East & North Africa,False,6,2011,WVS,13.75,1200,10.75,20.31,1157,,,,,
