iso3,year,pct_si,n_valid,n_total,pct_respuesta
ARG,2009,19.3,1192,1200,99.3
BOL,2009,31.7,1173,1200,97.8
BRA,2009,26.4,1191,1204,98.9
CHL,2009,14.7,1155,1200,96.2
COL,2009,12.0,1157,1200,96.4
CRI,2009,11.4,966,1000,96.6
DOM,2009,11.4,945,1000,94.5
ECU,2009,21.7,1136,1200,94.7
GTM,2009,26.9,944,1000,94.4
HND,2009,18.0,953,1000,95.3
MEX,2009,16.8,1159,1200,96.6
NIC,2009,9.9,934,1000,93.4
PAN,2009,11.4,938,1000,93.8
PER,2009,24.7,1146,1200,95.5
PRY,2009,20.5,1183,1200,98.6
SLV,2009,8.3,896,1000,89.6
URY,2009,12.8,1180,1200,98.3
VEN,2009,17.2,1151,1200,95.9
ARG,2010,18.8,1191,1200,99.2
BOL,2010,42.6,1158,1200,96.5
BRA,2010,29.8,1170,1204,97.2
CHL,2010,23.7,1169,1200,97.4
COL,2010,17.7,1160,1200,96.7
CRI,2010,13.9,945,1000,94.5
DOM,2010,13.8,955,1000,95.5
ECU,2010,15.4,1159,1200,96.6
GTM,2010,29.1,943,1000,94.3
HND,2010,18.5,914,1000,91.4
MEX,2010,25.4,1176,1200,98.0
NIC,2010,17.3,975,1000,97.5
PAN,2010,9.4,955,1000,95.5
PER,2010,29.8,1149,1200,95.8
PRY,2010,22.2,1164,1200,97.0
SLV,2010,13.7,952,1000,95.2
URY,2010,11.6,1122,1200,93.5
VEN,2010,14.4,1151,1200,95.9
ARG,2011,17.4,1199,1200,99.9
BOL,2011,34.3,1146,1200,95.5
BRA,2011,34.7,1189,1204,98.8
CHL,2011,22.2,1159,1200,96.6
COL,2011,19.6,1162,1200,96.8
CRI,2011,17.8,961,1000,96.1
DOM,2011,17.7,974,1000,97.4
ECU,2011,16.4,1154,1200,96.2
GTM,2011,34.8,906,1000,90.6
HND,2011,21.9,925,1000,92.5
MEX,2011,21.8,1156,1200,96.3
NIC,2011,17.2,918,1000,91.8
PAN,2011,12.2,967,1000,96.7
PER,2011,29.5,1148,1200,95.7
PRY,2011,14.6,1149,1200,95.8
SLV,2011,7.0,971,1000,97.1
URY,2011,15.8,1164,1200,97.0
VEN,2011,12.7,1152,1200,96.0
ARG,2015,16.2,1191,1200,99.2
BOL,2015,27.0,1167,1200,97.2
BRA,2015,19.4,1229,1250,98.3
CHL,2015,28.9,1165,1200,97.1
COL,2015,8.7,1185,1200,98.8
CRI,2015,16.6,985,1000,98.5
DOM,2015,17.7,995,1000,99.5
ECU,2015,8.1,1171,1200,97.6
GTM,2015,19.8,960,1000,96.0
HND,2015,13.5,989,1000,98.9
MEX,2015,18.1,1185,1200,98.8
NIC,2015,12.1,978,1000,97.8
PAN,2015,14.6,989,1000,98.9
PER,2015,19.9,1145,1200,95.4
PRY,2015,18.2,1179,1200,98.2
SLV,2015,11.1,989,1000,98.9
URY,2015,11.8,1197,1200,99.8
VEN,2015,17.0,1197,1200,99.8
ARG,2020,31.0,1082,1200,90.2
BOL,2020,33.8,1173,1200,97.8
BRA,2020,40.3,1174,1204,97.5
CHL,2020,35.3,1174,1200,97.8
COL,2020,15.1,1183,1200,98.6
CRI,2020,19.4,984,1000,98.4
DOM,2020,14.9,986,1000,98.6
ECU,2020,18.8,1189,1200,99.1
GTM,2020,23.3,971,1000,97.1
HND,2020,14.1,979,1000,97.9
MEX,2020,14.5,1189,1200,99.1
NIC,2020,13.7,972,1000,97.2
PAN,2020,20.1,975,1000,97.5
PER,2020,23.4,1174,1200,97.8
PRY,2020,22.2,1187,1200,98.9
SLV,2020,13.3,991,1000,99.1
URY,2020,13.5,1190,1200,99.2
VEN,2020,20.3,1186,1200,98.8
