iso3,cod,grupo,pct,n
ARG,10,Pobres,26.6,169
ARG,96,Otros,15.3,115
ARG,24,Viejos,11.5,76
ARG,97,Ninguna (no hay personas o grupos de personas discriminadas),10.1,62
ARG,2,Indígenas,8.8,76
ARG,20,Homosexuales,4.8,40
ARG,18,Discapacitados,3.9,26
ARG,11,Inmigrantes (en general),3.6,21
ARG,30,Pertenecen a grupos feministas,3.1,27
ARG,23,Mujeres,2.7,25
ARG,1,Negros o afrodescendientes,2.4,12
ARG,15,Inmigrantes de Bolivia,2.1,16
ARG,28,"Pertenecen a algún partido político (comunista, socialista etc)",1.4,10
ARG,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,1.2,9
ARG,25,Jóvenes,0.7,3
ARG,26,Analfabetos / sin educación,0.7,4
ARG,12,Inmigrantes de países de América Latina,0.5,5
ARG,6,Asiáticos (Chinos/ japoneses),0.2,1
ARG,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.2,1
ARG,3,Blancos,0.1,1
ARG,5,Mestizos,0.1,1
ARG,16,Inmigrantes de Perú,0.1,1
BOL,10,Pobres,30.1,316
BOL,34,Campesinos/ personas que trabajan el campo,15.8,166
BOL,97,Ninguna (no hay personas o grupos de personas discriminadas),11.5,121
BOL,2,Indígenas,9.6,101
BOL,39,Personas discriminadas por su raza (sin especificar),8.1,85
BOL,23,Mujeres,5.1,54
BOL,18,Discapacitados,3.3,35
BOL,28,"Pertenecen a algún partido político (comunista, socialista etc)",2.3,24
BOL,24,Viejos,2.2,23
BOL,29,Pertenecen a movimientos o grupos de interés (sindicatos),1.8,19
BOL,20,Homosexuales,1.3,14
BOL,35,Personas que viven en provincias o zonas rurales,1.2,13
BOL,1,Negros o afrodescendientes,1.1,12
BOL,11,Inmigrantes (en general),1.1,12
BOL,25,Jóvenes,0.9,9
BOL,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.8,8
BOL,33,Personas en situación de calle/ indigentes,0.8,8
BOL,3,Blancos,0.7,7
BOL,26,Analfabetos / sin educación,0.7,7
BOL,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,0.7,7
BOL,40,Médicos o trabajadores de la salud,0.3,3
BOL,5,Mestizos,0.2,2
BOL,21,Drogadictos,0.1,1
BOL,38,Alcohólicos,0.1,1
BOL,96,Otros,0.1,1
BRA,1,Negros o afrodescendientes,52.4,568
BRA,10,Pobres,24.7,268
BRA,97,Ninguna (no hay personas o grupos de personas discriminadas),7.6,83
BRA,20,Homosexuales,7.3,79
BRA,23,Mujeres,2.4,26
BRA,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",1.2,13
BRA,96,Otros,1.2,13
BRA,24,Viejos,1.1,12
BRA,2,Indígenas,0.6,7
BRA,11,Inmigrantes (en general),0.5,5
BRA,28,"Pertenecen a algún partido político (comunista, socialista etc)",0.4,4
BRA,33,Personas en situación de calle/ indigentes,0.3,3
BRA,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,0.2,2
BRA,18,Discapacitados,0.1,1
BRA,26,Analfabetos / sin educación,0.1,1
CHL,10,Pobres,22.7,276
CHL,2,Indígenas,15.9,208
CHL,24,Viejos,13.8,168
CHL,11,Inmigrantes (en general),11.6,113
CHL,20,Homosexuales,8.5,77
CHL,96,Otros,4.9,51
CHL,1,Negros o afrodescendientes,4.3,57
CHL,23,Mujeres,4.1,51
CHL,25,Jóvenes,4.0,46
CHL,18,Discapacitados,3.9,27
CHL,26,Analfabetos / sin educación,1.9,15
CHL,97,Ninguna (no hay personas o grupos de personas discriminadas),1.6,22
CHL,21,Drogadictos,0.7,10
CHL,30,Pertenecen a grupos feministas,0.6,7
CHL,13,Inmigrantes de Venezuela,0.5,7
CHL,28,"Pertenecen a algún partido político (comunista, socialista etc)",0.3,4
CHL,19,Enfermos de SIDA,0.2,3
CHL,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.2,3
CHL,3,Blancos,0.1,1
CHL,4,Mulatos,0.1,1
CHL,14,Inmigrantes de Colombia,0.1,1
CHL,16,Inmigrantes de Perú,0.1,2
CHL,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.0,1
COL,1,Negros o afrodescendientes,17.5,183
COL,10,Pobres,16.9,172
COL,2,Indígenas,15.1,166
COL,97,Ninguna (no hay personas o grupos de personas discriminadas),13.9,117
COL,20,Homosexuales,12.7,139
COL,37,Personas que pertenecen a grupos armados,4.7,32
COL,11,Inmigrantes (en general),3.4,41
COL,13,Inmigrantes de Venezuela,2.7,30
COL,24,Viejos,2.5,26
COL,23,Mujeres,1.7,19
COL,96,Otros,1.5,16
COL,18,Discapacitados,1.3,16
COL,33,Personas en situación de calle/ indigentes,1.3,14
COL,21,Drogadictos,1.2,12
COL,34,Campesinos/ personas que trabajan el campo,1.1,14
COL,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,0.6,6
COL,28,"Pertenecen a algún partido político (comunista, socialista etc)",0.5,5
COL,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.4,5
COL,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.3,4
COL,25,Jóvenes,0.2,2
COL,40,Médicos o trabajadores de la salud,0.2,1
COL,5,Mestizos,0.1,1
