grupo,cat,n_paises,dif_vs_blanco,mediana,paises_positivos,paises
mestizo,otra_raza,14,-2.9,-2.8,3,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,inmigrantes,14,-4.5,-3.7,2,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,homosexuales,14,-2.9,-3.1,3,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,otra_religion,14,-2.5,-2.0,4,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,bebedores_drogadictos,14,4.2,3.7,11,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,parejas_no_casadas,14,-1.6,-1.4,4,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,otro_idioma,14,-2.4,-2.6,4,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
mestizo,jovenes,14,-1.9,-2.1,4,"ARG,BRA,CHL,COL,CRI,DOM,HND,MEX,PAN,PER,PRY,SLV,URY,VEN"
indigena,otra_raza,8,-2.2,-1.3,2,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,inmigrantes,8,-3.6,-4.0,3,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,homosexuales,8,2.7,0.9,5,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,otra_religion,8,-2.9,-5.5,3,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,bebedores_drogadictos,8,2.2,5.1,5,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,parejas_no_casadas,8,-0.7,-0.7,3,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,otro_idioma,8,-2.0,-2.3,2,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
indigena,jovenes,8,-0.9,-0.7,3,"COL,DOM,HND,MEX,PAN,PER,SLV,VEN"
afro,otra_raza,9,0.4,0.3,5,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,inmigrantes,9,-0.9,0.9,5,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,homosexuales,9,1.0,0.9,5,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,otra_religion,9,1.7,2.6,6,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,bebedores_drogadictos,9,-1.7,-2.5,3,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,parejas_no_casadas,9,1.6,0.7,5,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,otro_idioma,9,1.9,-0.4,4,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
afro,jovenes,9,0.1,-0.0,4,"BRA,COL,CRI,DOM,HND,PAN,SLV,URY,VEN"
otros,otra_raza,1,3.8,3.8,1,BRA
otros,inmigrantes,1,6.1,6.1,1,BRA
otros,homosexuales,1,1.8,1.8,1,BRA
otros,otra_religion,1,0.6,0.6,1,BRA
otros,bebedores_drogadictos,1,-10.6,-10.6,0,BRA
otros,parejas_no_casadas,1,-2.6,-2.6,0,BRA
otros,otro_idioma,1,1.0,1.0,1,BRA
otros,jovenes,1,-1.6,-1.6,0,BRA
