id,name_es,motivo
43291335,Pablo Echenique,label ES vandalizado en Wikidata (Q17177501)
430391,Calvin Klein,label ES vandalizado o mal formado en Wikidata
2919782,Florentino Pérez,label ES vandalizado o mal formado en Wikidata
4247873,Norman Reedus,label ES vandalizado o mal formado en Wikidata
207103,Vince Clarke,label ES vandalizado o mal formado en Wikidata
1367860,Justin Berfield,label ES vandalizado o mal formado en Wikidata
61709,David Ellefson,label ES vandalizado o mal formado en Wikidata
5685651,Kenneth Vermeer,label ES vandalizado o mal formado en Wikidata
43549539,Gianluca Gaudino,label ES vandalizado o mal formado en Wikidata
8839502,Gonzalo Castro,label ES vandalizado o mal formado en Wikidata
1159074,Leonor Fini,label ES vandalizado o mal formado en Wikidata
18642,Lemmy,label ES vandalizado o mal formado en Wikidata
49227731,Chae Soo-bin,label ES vandalizado o mal formado en Wikidata
35757647,Tony Ramos,label ES vandalizado o mal formado en Wikidata
165871,Frankie Lymon,label ES vandalizado o mal formado en Wikidata
39753701,Darío Benedetto,label ES vandalizado o mal formado en Wikidata
2356142,Nancy Fraser,label ES vandalizado o mal formado en Wikidata
617534,Jill Tarter,label ES vandalizado o mal formado en Wikidata
25038789,Alfreð Finnbogason,label ES vandalizado o mal formado en Wikidata
8244585,CariDee English,label ES vandalizado o mal formado en Wikidata
6026229,Ben Barres,label ES vandalizado o mal formado en Wikidata
64477229,Sanjana Sanghi,label ES vandalizado o mal formado en Wikidata
23214706,Enrique Gil,label ES vandalizado o mal formado en Wikidata
269826,James Hetfield,label ES vandalizado o mal formado en Wikidata
597057,Meldrick Taylor,label ES vandalizado o mal formado en Wikidata
261396,El hombre de la máscara de hierro,label ES vandalizado o mal formado en Wikidata
