id,name,occupation_pantheon,occupation_atlas,confianza,motivo
7412236,Steve Jobs,DESIGNER,BUSINESSPERSON,alta,Fundador y CEO de Apple. El mundo lo recuerda como empresario. Pedido de Daniel 20/9/2026.
58414156,Santiago Peña,ECONOMIST,POLITICIAN,alta,Presidente de Paraguay desde 2023. Pedido de Daniel 20/9/2026.
70844,François Duvalier,PHYSICIAN,POLITICIAN,alta,Dictador de Haití 1957-1971. Ejerció de médico pero se lo recuerda por el gobierno. Pedido de Daniel 20/9/2026.
909036,Elon Musk,INVENTOR,BUSINESSPERSON,alta,"Empresario: Tesla, SpaceX, X. No registra invenciones propias."
13371,Henry Ford,INVENTOR,BUSINESSPERSON,alta,Industrial. La línea de montaje es una innovación de organización empresarial.
43573275,Elizabeth Holmes,INVENTOR,BUSINESSPERSON,alta,Fundadora y CEO de Theranos. Célebre por el fraude empresarial.
20089715,Jack Dorsey,COMPUTER SCIENTIST,BUSINESSPERSON,alta,Cofundador y CEO de Twitter y de Block.
41995116,Jan Koum,COMPUTER SCIENTIST,BUSINESSPERSON,alta,Cofundador de WhatsApp.
60903,Larry Page,COMPUTER SCIENTIST,BUSINESSPERSON,media,Cofundador y CEO de Google. Tiene formación en ciencias de la computación.
60904,Sergey Brin,COMPUTER SCIENTIST,BUSINESSPERSON,media,Cofundador de Google. Tiene formación en ciencias de la computación.
3703446,Jimmy Wales,INVENTOR,BUSINESSPERSON,media,Cofundador de Wikipedia y de Wikia. Empresario de internet.
40597,Alexander Hamilton,ECONOMIST,POLITICIAN,alta,Padre fundador de Estados Unidos y primer secretario del Tesoro.
3557692,Mario Draghi,ECONOMIST,POLITICIAN,alta,Presidente del Banco Central Europeo y primer ministro de Italia.
1669496,Dominique Strauss-Kahn,ECONOMIST,POLITICIAN,alta,Ministro de Economía de Francia y director gerente del FMI.
609234,Alexei Kosygin,ENGINEER,POLITICIAN,alta,Presidente del Consejo de Ministros de la URSS entre 1964 y 1980.
200892,Fritz Todt,ENGINEER,POLITICIAN,media,Ministro de Armamento del Reich y jefe de la Organización Todt.
267666,Zhuge Liang,ENGINEER,POLITICIAN,alta,Canciller y estratega de Shu Han. Su fama es política y militar.
69718,"Herbert Kitchener, 1st Earl Kitchener",ENGINEER,MILITARY PERSONNEL,alta,Mariscal de campo británico y secretario de Estado de Guerra.
60540,Leslie Groves,ENGINEER,MILITARY PERSONNEL,alta,General del Ejército de Estados Unidos y director del Proyecto Manhattan.
70403029,Abram Petrovich Gannibal,ENGINEER,MILITARY PERSONNEL,media,General en jefe del ejército ruso. Bisabuelo de Pushkin.
175143,Basil of Caesarea,PHYSICIAN,RELIGIOUS FIGURE,alta,Obispo de Cesarea y Padre de la Iglesia.
24955,Polycarp,PHYSICIAN,RELIGIOUS FIGURE,alta,Obispo de Esmirna y mártir cristiano.
61540,Nestorius,PHYSICIAN,RELIGIOUS FIGURE,alta,Patriarca de Constantinopla. Da nombre al nestorianismo.
607834,Qa'a,PHYSICIAN,NOBLEMAN,alta,Faraón de la I dinastía de Egipto.
549418,Thutmose IV,PHYSICIAN,NOBLEMAN,alta,Faraón de la XVIII dinastía de Egipto.
429396,Aron Ralston,ENGINEER,MOUNTAINEER,alta,Montañista. Célebre por el accidente que cuenta 127 horas.
464810,Georg Elser,DESIGNER,EXTREMIST,alta,Carpintero. Célebre por el atentado contra Hitler de 1939.
18100,L. L. Zamenhof,PHYSICIAN,LINGUIST,media,Oftalmólogo de profesión. Célebre por crear el esperanto.
