ocupacion,dominio_atlas,dominio_pantheon1,industria_pantheon1,n_base_depurada
ACTOR,Arte y espectáculo,ARTS,FILM AND THEATRE,13590
SINGER,Arte y espectáculo,ARTS,MUSIC,4387
MUSICIAN,Arte y espectáculo,ARTS,MUSIC,3166
FILM DIRECTOR,Arte y espectáculo,ARTS,FILM AND THEATRE,2038
PAINTER,Arte y espectáculo,ARTS,FINE ARTS,2015
COMPOSER,Arte y espectáculo,ARTS,MUSIC,1449
ARCHITECT,Arte y espectáculo,ARTS,DESIGN,517
MODEL,Arte y espectáculo,PUBLIC FIGURE,MEDIA PERSONALITY,315
CELEBRITY,Arte y espectáculo,PUBLIC FIGURE,MEDIA PERSONALITY,277
SCULPTOR,Arte y espectáculo,ARTS,FINE ARTS,255
COMIC ARTIST,Arte y espectáculo,ARTS,DESIGN,225
PORNOGRAPHIC ACTOR,Arte y espectáculo,PUBLIC FIGURE,MEDIA PERSONALITY,220
PHOTOGRAPHER,Arte y espectáculo,ARTS,FINE ARTS,148
PRESENTER,Arte y espectáculo,PUBLIC FIGURE,MEDIA PERSONALITY,146
PRODUCER,Arte y espectáculo,BUSINESS & LAW,BUSINESS,140
CONDUCTOR,Arte y espectáculo,ARTS,MUSIC,128
ARTIST,Arte y espectáculo,ARTS,FINE ARTS,125
DANCER,Arte y espectáculo,ARTS,DANCE,114
DESIGNER,Arte y espectáculo,ARTS,DESIGN,104
COMEDIAN,Arte y espectáculo,ARTS,FILM AND THEATRE,98
GAME DESIGNER,Arte y espectáculo,ARTS,DESIGN,77
YOUTUBER,Arte y espectáculo,(no existe en 1.0),,60
FASHION DESIGNER,Arte y espectáculo,ARTS,DESIGN,51
CHEF,Arte y espectáculo,PUBLIC FIGURE,MEDIA PERSONALITY,15
MAGICIAN,Arte y espectáculo,PUBLIC FIGURE,MEDIA PERSONALITY,11
BIOLOGIST,Ciencia y tecnología,SCIENCE & TECHNOLOGY,NATURAL SCIENCES,1094
MATHEMATICIAN,Ciencia y tecnología,SCIENCE & TECHNOLOGY,MATH,998
PHYSICIST,Ciencia y tecnología,SCIENCE & TECHNOLOGY,NATURAL SCIENCES,848
PHYSICIAN,Ciencia y tecnología,SCIENCE & TECHNOLOGY,MEDICINE,719
ASTRONOMER,Ciencia y tecnología,SCIENCE & TECHNOLOGY,NATURAL SCIENCES,629
CHEMIST,Ciencia y tecnología,SCIENCE & TECHNOLOGY,NATURAL SCIENCES,600
ASTRONAUT,Ciencia y tecnología,EXPLORATION,EXPLORERS,556
INVENTOR,Ciencia y tecnología,SCIENCE & TECHNOLOGY,INVENTION,426
ENGINEER,Ciencia y tecnología,SCIENCE & TECHNOLOGY,ENGINEERING,390
COMPUTER SCIENTIST,Ciencia y tecnología,SCIENCE & TECHNOLOGY,COMPUTER SCIENCE,246
GEOLOGIST,Ciencia y tecnología,SCIENCE & TECHNOLOGY,NATURAL SCIENCES,89
STATISTICIAN,Ciencia y tecnología,SCIENCE & TECHNOLOGY,MATH,8
SOCCER PLAYER,Deporte,SPORTS,TEAM SPORTS,18283
ATHLETE,Deporte,SPORTS,INDIVIDUAL SPORTS,7424
BASKETBALL PLAYER,Deporte,SPORTS,TEAM SPORTS,1838
CYCLIST,Deporte,SPORTS,INDIVIDUAL SPORTS,1731
TENNIS PLAYER,Deporte,SPORTS,INDIVIDUAL SPORTS,1591
WRESTLER,Deporte,SPORTS,INDIVIDUAL SPORTS,1159
RACING DRIVER,Deporte,(no existe en 1.0),,1085
SWIMMER,Deporte,SPORTS,INDIVIDUAL SPORTS,829
SKIER,Deporte,SPORTS,INDIVIDUAL SPORTS,822
HOCKEY PLAYER,Deporte,(no existe en 1.0),,664
BOXER,Deporte,SPORTS,INDIVIDUAL SPORTS,539
SKATER,Deporte,(no existe en 1.0),,487
HANDBALL PLAYER,Deporte,(no existe en 1.0),,471
COACH,Deporte,SPORTS,TEAM SPORTS,468
CHESS PLAYER,Deporte,(no existe en 1.0),,465
GYMNAST,Deporte,(no existe en 1.0),,424
FENCER,Deporte,(no existe en 1.0),,359
VOLLEYBALL PLAYER,Deporte,(no existe en 1.0),,263
BADMINTON PLAYER,Deporte,(no existe en 1.0),,226
MARTIAL ARTS,Deporte,SPORTS,INDIVIDUAL SPORTS,200
REFEREE,Deporte,(no existe en 1.0),,147
CRICKETER,Deporte,SPORTS,TEAM SPORTS,136
TABLE TENNIS PLAYER,Deporte,(no existe en 1.0),,126
BASEBALL PLAYER,Deporte,SPORTS,TEAM SPORTS,102
GOLFER,Deporte,SPORTS,INDIVIDUAL SPORTS,82
SNOOKER,Deporte,SPORTS,INDIVIDUAL SPORTS,68
AMERICAN FOOTBALL PLAYER,Deporte,(no existe en 1.0),,65
MOUNTAINEER,Deporte,SPORTS,INDIVIDUAL SPORTS,55
RUGBY PLAYER,Deporte,(no existe en 1.0),,54
POKER PLAYER,Deporte,(no existe en 1.0),,15
GAMER,Deporte,(no existe en 1.0),,8
BULLFIGHTER,Deporte,(no existe en 1.0),,2
GO PLAYER,Deporte,(no existe en 1.0),,2
WRITER,Humanidades,HUMANITIES,LANGUAGE,7270
PHILOSOPHER,Humanidades,HUMANITIES,PHILOSOPHY,1257
HISTORIAN,Humanidades,HUMANITIES,HISTORY,558
ECONOMIST,Humanidades,SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,416
PSYCHOLOGIST,Humanidades,SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,236
LINGUIST,Humanidades,HUMANITIES,LANGUAGE,212
ARCHAEOLOGIST,Humanidades,SCIENCE & TECHNOLOGY,NATURAL SCIENCES,150
ANTHROPOLOGIST,Humanidades,SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,93
GEOGRAPHER,Humanidades,SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,84
SOCIOLOGIST,Humanidades,SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,79
POLITICAL SCIENTIST,Humanidades,SCIENCE & TECHNOLOGY,SOCIAL SCIENCES,46
CRITIC,Humanidades,HUMANITIES,LANGUAGE,9
BUSINESSPERSON,Negocios y exploración,BUSINESS & LAW,BUSINESS,841
EXPLORER,Negocios y exploración,EXPLORATION,EXPLORERS,492
POLITICIAN,Poder y figuras públicas,INSTITUTIONS,GOVERNMENT,19154
RELIGIOUS FIGURE,Poder y figuras públicas,INSTITUTIONS,RELIGION,2957
MILITARY PERSONNEL,Poder y figuras públicas,INSTITUTIONS,MILITARY,2047
NOBLEMAN,Poder y figuras públicas,INSTITUTIONS,GOVERNMENT,1380
