iso3,pais,confederacion,clubes_total,clubes_con_fecha,mediana_fundacion,mediana_fundacion_pond,fed_fundacion,fifa_afiliacion,elo_actual,elo_pico,elo_anio_pico,elo_promedio,elo_prom_2000_2026,pib_ppa_2024,residuo_elo_pib_2000_2026,residuo_elo_pib_1980_2026
AFG,Afganistán,AFC,38,17,2003,2012,1921,1947,990,1149,2017,910,971,83777899150,-421,-483
ALB,Albania,UEFA,126,77,1949,1930,1929,1931,1616,1664,2025,1505,1544,52159424018,220,183
DEU,Alemania,UEFA,2217,1764,1912,1908,1899,1903,1932,2145,1972,1911,1974,5267563845852,177,192
AND,Andorra,UEFA,32,23,1995,1988,1993,1995,1081,1108,2022,1049,1048,5420934591,-77,-91
AGO,Angola,CAF,80,40,1976,1976,1978,1979,1537,1591,2006,1461,1450,333730007370,-62,-31
ATG,Antigua y Barbuda,CONCACAF,15,10,1976,1973,1927,1971,894,1310,2011,1174,1142,2760055272,87,109
SAU,Arabia Saudí,AFC,199,83,1971,1957,1955,1955,1569,1711,1998,1503,1595,2230763484900,-94,-91
DZA,Argelia,CAF,217,149,1945,1942,1962,1962,1760,1870,1960,1639,1587,725708418708,-2,28
ARG,Argentina,CONMEBOL,355,258,1924,1912,1893,1911,2114,2143,2022,1988,2018,1223385337160,363,322
ARM,Armenia,UEFA,92,62,1990,1989,1991,1991,1378,1580,2013,1414,1452,60899989272,125,88
AUS,Australia,AFC,588,509,1969,1977,1960,1962,1777,1847,1997,1676,1758,1675682907128,87,66
AUT,Austria,UEFA,260,162,1932,1921,1904,1904,1830,2015,1932,1810,1702,591103917519,119,138
AZE,Azerbaiyán,UEFA,113,91,2000,1996,1929,1993,1321,1552,1993,1396,1381,225390565781,-86,-68
BHS,Bahamas,CONCACAF,13,5,1980,1988,1966,1967,685,931,2011,875,862,14538882936,-356,-353
BGD,Bangladés,AFC,84,34,2008,1994,1971,1975,942,1108,1985,976,925,1472990612107,-704,-638
BRB,Barbados,CONCACAF,18,6,1968,1977,1909,1967,898,1369,2003,1233,1169,6081732966,30,71
BHR,Baréin,AFC,18,14,1951,1945,1956,1967,1414,1616,2009,1356,1484,93846602185,102,52
BLZ,Belice,CONCACAF,38,27,2005,2004,1979,1985,1073,1187,2015,1114,1116,5265073578,7,19
BEN,Benín,CAF,51,8,1974,1975,1961,1961,1428,1546,1961,1366,1378,56422719000,62,14
BLR,Bielorrusia,UEFA,220,120,1994,1986,1988,1991,1525,1667,2010,1508,1537,260915599052,44,15
MMR,Birmania,AFC,31,24,2008,2008,1946,1947,993,1684,1972,1223,1059,241233186500,-421,-368
BOL,Bolivia,CONMEBOL,88,59,1951,1948,1924,1925,1633,1707,1963,1511,1609,140628589994,183,184
BIH,Bosnia y Herzegovina,UEFA,132,107,1945,1945,1991,1995,1595,1795,2018,1618,1628,66033438740,275,256
BWA,Botsuana,CAF,38,20,1974,1968,1965,1977,1267,1432,2010,1160,1292,45550701105,-25,-119
BRA,Brasil,CONMEBOL,1738,1173,1960,1939,1914,1922,1991,2192,1962,2000,2053,4166279692600,287,281
BRN,Brunéi,AFC,22,11,1988,1988,1951,1971,592,947,1983,771,661,36628314000,-658,-573
BGR,Bulgaria,UEFA,306,147,1944,1928,1922,1923,1458,1882,1968,1630,1630,222173782381,158,205
BFA,Burkina Faso,CAF,41,18,1962,1961,1959,1963,1526,1607,2017,1450,1489,59993616118,163,144
BDI,Burundi,CAF,40,11,1988,1986,1947,1971,1285,1458,1998,1285,1281,11827432640,92,102
BTN,Bután,AFC,38,17,2001,2001,1982,1999,631,694,1982,599,579,11507472687,-590,-546
BEL,Bélgica,UEFA,1047,354,1926,1921,1894,1903,1893,2111,2020,1757,1837,766166397516,234,232
CPV,Cabo Verde,CAF,101,76,1977,1975,1981,1985,1578,1578,2026,1299,1416,5174198272,316,266
KHM,Camboya,AFC,39,11,2000,2000,1932,1953,849,1306,1972,1049,813,122006511179,-575,-383
CMR,Camerún,CAF,80,35,1977,1973,1958,1961,1613,1795,2002,1604,1667,143200552824,246,236
CAN,Canadá,CONCACAF,249,142,1997,2005,1911,1912,1788,1802,2025,1604,1616,2340716244636,-92,-101
QAT,Catar,AFC,23,18,1979,1978,1959,1971,1421,1669,2019,1417,1537,316854234382,41,24
TCD,Chad,CAF,15,7,1971,1971,1961,1987,1073,1313,1977,1241,1232,50370990220,-88,-53
CHL,Chile,CONMEBOL,169,135,1960,1946,1894,1912,1708,1982,2016,1679,1781,596500328768,213,220
CHN,China,AFC,279,199,2003,1997,1913,1930,1428,1726,2001,1578,1549,33566287610840,-382,-337
CYP,Chipre,UEFA,334,290,1966,1953,1934,1947,1314,1564,2009,1377,1429,52405477782,104,76
COL,Colombia,CONMEBOL,96,83,2001,1953,1923,1935,1977,2019,2014,1625,1878,995260815248,264,216
COM,Comoras,CAF,23,13,1966,1966,1978,2004,1363,1424,2024,950,1008,3019184380,-45,-97
KOR,Corea del Sur,AFC,164,153,2007,2003,1927,1947,1758,1827,1978,1691,1747,2858910146323,28,15
CRI,Costa Rica,CONCACAF,91,66,1975,1947,1920,1926,1611,1866,2014,1688,1696,141861700875,277,243
CIV,Costa de Marfil,CAF,64,36,1988,1952,1959,1960,1695,1838,2012,1646,1675,215461859046,228,206
HRV,Croacia,UEFA,200,157,1931,1928,1911,1991,1908,1964,1998,1883,1879,165515997438,433,430
DNK,Dinamarca,UEFA,399,221,1933,1938,1889,1903,1864,2074,1915,1800,1837,428387056365,290,306
DMA,Dominica,CONCACAF,15,4,1991,1981,1969,1993,934,1330,1939,1194,1009,1202045925,31,110
ECU,Ecuador,CONMEBOL,163,107,1978,1962,1978,1925,1935,1935,2026,1531,1790,252495784836,302,232
EGY,Egipto,CAF,131,57,1961,1948,1921,1922,1696,1882,1964,1668,1672,1958786512800,1,7
SLV,El Salvador,CONCACAF,133,71,1958,1950,1934,1937,1342,1597,1981,1470,1457,73958552984,89,109
ARE,Emiratos Árabes Unidos,AFC,59,28,1973,1973,1970,1973,1540,1648,2013,1401,1495,765796265696,-93,-112
SVK,Eslovaquia,UEFA,235,184,1927,1920,1937,1993,1667,1755,2000,1678,1680,218999280675,208,202
SVN,Eslovenia,UEFA,160,145,1954,1947,1919,1991,1685,1760,2001,1628,1646,104330032524,243,219
ESP,España,UEFA,1768,1326,1960,1934,1899,1913,2155,2178,2024,1950,2038,2357245345098,324,281
FSM,Estados Federados de Micronesia,OFC,2,1,1982,1982,,,563,617,1999,571,570,391795010,-304,-317
USA,Estados Unidos,CONCACAF,1455,1090,2001,2003,1913,1914,1726,1862,2013,1644,1782,25737675243566,-157,-219
EST,Estonia,UEFA,209,114,1997,1990,1920,1922,1352,1525,2011,1353,1426,57543849132,78,14
ETH,Etiopía,CAF,52,19,1975,1975,1942,1952,1291,1573,1963,1394,1321,389386675200,-165,-120
PHL,Filipinas,AFC,62,37,2000,2000,1906,1929,1169,1344,1923,1069,989,1201987175535,-629,-686
FIN,Finlandia,UEFA,247,186,1969,1947,1907,1907,1536,1726,2001,1501,1640,317270712180,114,73
FJI,Fiyi,OFC,24,24,1944,1937,1937,1963,1101,1459,1991,1248,1277,12629838195,86,123
FRA,Francia,UEFA,1863,1605,1941,1927,1919,1906,2062,2114,2021,1795,2004,3862253533476,240,216
GAB,Gabón,CAF,42,23,1974,1974,1961,1962,1401,1564,2010,1418,1454,48056045318,129,119
GMB,Gambia,CAF,31,16,1982,1973,1952,1965,1419,1424,2022,1323,1355,8438211048,212,199
GEO,Georgia,UEFA,105,63,1948,1945,1990,1991,1654,1692,2024,1561,1544,92070044260,184,200
